Timestamp,PosX,PosY,PosZ,QuaX,QuaY,QuaZ,QuaW
1715314822985,1.091245,0.1049216,0.7346991,-0.01345999,0.51986,0.8538592,-0.02210842
1715314824532,1.094671,0.1071502,0.752869,0.04432943,0.5190723,0.85223,-0.04799177
1715314824698,1.084989,0.1000001,0.7570275,0.04251571,0.517761,0.8528681,-0.05226943
1715314824754,1.084826,0.1000004,0.7569,0.04353582,0.5181953,0.8525074,-0.0530087
1715314824807,1.084756,0.0999999,0.7567862,0.04422206,0.5183424,0.8523549,-0.05344828
1715314824849,1.084691,0.1000006,0.7567043,0.04484474,0.5184625,0.8522245,-0.05384336
1715314824892,1.084628,0.1,0.7566783,0.04524831,0.5185197,0.8521503,-0.05413094
1715314824945,1.084561,0.0999999,0.7566947,0.04559025,0.5184826,0.8521389,-0.05437824
1715314824987,1.084487,0.0999999,0.7567685,0.04600545,0.5183384,0.8521878,-0.0546376
1715314825027,1.084449,0.1000003,0.7568659,0.0462526,0.5181651,0.8522677,-0.05482553
1715314825070,1.084439,0.1000001,0.7569891,0.0463612,0.5179608,0.8523757,-0.05498011
1715314825101,1.084458,0.1000001,0.7571611,0.04631198,0.5177199,0.8525209,-0.05504458
1715314825129,1.084484,0.1000001,0.7573187,0.04619019,0.5175295,0.8526445,-0.05501893
1715314825156,1.084513,0.1,0.757468,0.0460677,0.5173633,0.8527541,-0.05498678
1715314825186,1.084545,0.0999999,0.7576224,0.04595536,0.5171974,0.8528619,-0.05497104
1715314825227,1.084589,0.1000001,0.7578064,0.04584929,0.5170009,0.8529869,-0.05496988
1715314825262,1.084681,0.1000004,0.7580803,0.0457259,0.5167049,0.8531771,-0.05490659
1715314825296,1.084788,0.0999999,0.7583526,0.04561932,0.5164208,0.853363,-0.05477723
1715314825328,1.084897,0.0999999,0.7586286,0.04551284,0.5161746,0.8535265,-0.05463919
1715314825374,1.084993,0.1000001,0.7588918,0.04539655,0.5160137,0.8536373,-0.05452217
1715314825430,1.08512,0.1000004,0.7592438,0.04522034,0.5159256,0.8537115,-0.05433778
1715314825471,1.085316,0.1000004,0.7596209,0.04515668,0.5159739,0.8537058,-0.05402356
1715314825507,1.08549,0.1000001,0.7598722,0.045214,0.5160876,0.8536482,-0.05379827
1715314825544,1.085663,0.0999999,0.7600851,0.04527498,0.5162444,0.8535615,-0.05361906
1715314825583,1.085845,0.1000004,0.7602828,0.04533011,0.5164604,0.853436,-0.05348711
1715314825618,1.086058,0.0999999,0.7604927,0.04536376,0.5167687,0.8532552,-0.05336742
1715314825645,1.086247,0.1000001,0.7606703,0.04535794,0.5170493,0.8530921,-0.05326273
1715314825674,1.086403,0.1000001,0.760811,0.0453327,0.5172641,0.8529689,-0.05317255
1715314825703,1.086571,0.1000005,0.7609535,0.04528093,0.5174626,0.8528586,-0.05305258
1715314825746,1.086756,0.1000001,0.7611018,0.04519247,0.5176625,0.8527516,-0.05289611
1715314825777,1.087035,0.1000003,0.7613149,0.04500658,0.5179459,0.852606,-0.05263098
1715314825805,1.087239,0.1000001,0.7614664,0.04483665,0.5181309,0.8525154,-0.05242208
1715314825837,1.087414,0.1,0.7615935,0.04467894,0.5182579,0.8524569,-0.05225085
1715314825862,1.087603,0.1000003,0.7617284,0.04449775,0.5183519,0.8524188,-0.05209179
