Timestamp,PosX,PosY,PosZ,QuaX,QuaY,QuaZ,QuaW
1715345040176,0.9353303,3.166094,0.8099747,0.06332378,-0.1346023,-0.02635666,-0.9885229
1715345040221,0.9338843,1.643691,0.8085728,0.06195952,-0.1273259,-0.02842746,-0.9895156
1715345040242,0.9331232,1.643682,0.8091211,0.06159576,-0.1234696,-0.03021199,-0.989974
1715345040267,0.9331402,1.643882,0.809797,0.06261706,-0.1233555,-0.02860727,-0.9899718
1715345040282,0.9331502,1.643781,0.8100888,0.06211758,-0.1231811,-0.02819364,-0.9900368
1715345040295,0.9331549,1.643657,0.8103571,0.06154605,-0.1230203,-0.02841117,-0.9900863
1715345040309,0.9332094,1.643538,0.8104339,0.06109738,-0.123207,-0.0283475,-0.9900928
1715345040323,0.9332367,1.643494,0.810643,0.06075474,-0.1232524,-0.02851241,-0.9901034
1715345040337,0.9332514,1.643487,0.8108434,0.06069432,-0.1231365,-0.02843522,-0.9901237
1715345040351,0.9332397,1.643468,0.8110473,0.06054514,-0.1230878,-0.02841729,-0.9901395
1715345040364,0.9333622,1.643554,0.8112365,0.060563,-0.1236709,-0.02747463,-0.9900923
1715345040379,0.9334049,1.64362,0.8114164,0.06021978,-0.1241424,-0.02701875,-0.9900668
1715345040393,0.9334244,1.643664,0.8116255,0.06028832,-0.1244124,-0.02687833,-0.9900326
1715345040407,0.9334468,1.643715,0.8118751,0.06095738,-0.1244318,-0.02681621,-0.9899908
1715345040421,0.9334109,1.643738,0.8119602,0.0608786,-0.1243796,-0.0272567,-0.9899902
1715345040434,0.9333901,1.643719,0.8122047,0.06072422,-0.1242905,-0.02714697,-0.9900139
1715345040448,0.9332984,1.643593,0.8124318,0.06015188,-0.1239841,-0.02685972,-0.9900951
1715345040462,0.9331844,1.643439,0.8126599,0.05955001,-0.1236748,-0.02667791,-0.9901751
1715345040475,0.9331497,1.643388,0.8128873,0.05936744,-0.1234096,-0.02649774,-0.9902239
1715345040489,0.9330424,1.643354,0.8130802,0.0592008,-0.1230095,-0.02644906,-0.990285
1715345040503,0.9329653,1.643338,0.8132906,0.05956035,-0.1224306,-0.02608903,-0.9903448
1715345040517,0.9328579,1.643292,0.8134898,0.0591362,-0.121977,-0.02572927,-0.9904355
1715345040530,0.9327565,1.643222,0.8137035,0.05890064,-0.1215648,-0.02539636,-0.9905089
1715345040543,0.9326209,1.643116,0.8139147,0.05844006,-0.1210623,-0.02512296,-0.9906046
1715345040557,0.932308,1.643013,0.8141155,0.05820633,-0.1197878,-0.02638293,-0.9907406
1715345040571,0.9318591,1.642962,0.8143907,0.05839135,-0.1182667,-0.02672478,-0.9909033
1715345040586,0.9315917,1.642874,0.8145806,0.05805524,-0.1171169,-0.02669189,-0.9910604
1715345040599,0.9313447,1.642805,0.814795,0.05786377,-0.1162065,-0.02679851,-0.9911759
1715345040669,0.9309228,1.64271,0.8149489,0.05777145,-0.1141275,-0.02649026,-0.9914311
1715345040696,0.9286656,1.642113,0.8163258,0.05554012,-0.1043021,-0.02641759,-0.9926422
1715345040724,0.9278471,1.642416,0.8169834,0.05596722,-0.1014535,-0.02731812,-0.992889
1715345040740,0.9274807,1.642571,0.8172596,0.05651345,-0.09975625,-0.02742586,-0.993027
1715345040754,0.9271001,1.642632,0.8175148,0.05650993,-0.0982658,-0.0275615,-0.9931721
1715345040766,0.9266784,1.642678,0.8178273,0.05673546,-0.09671024,-0.02771803,-0.9933076
1715345040779,0.9262916,1.642737,0.8180919,0.05676733,-0.09521841,-0.02785577,-0.993446
1715345040794,0.9258292,1.642855,0.8183699,0.0574801,-0.09330632,-0.02787838,-0.9935858
1715345040808,0.9257715,1.642747,0.8180947,0.05701997,-0.09216042,-0.02887243,-0.9936909
1715345040822,0.9250457,1.643509,0.8186476,0.05998707,-0.08889219,-0.02984923,-0.9937851
1715345040834,0.9245588,1.643776,0.8189381,0.06057766,-0.08685792,-0.03025671,-0.9939168
1715345040847,0.9238238,1.644522,0.8191907,0.06441599,-0.08244439,-0.02903482,-0.9940878
1715345040863,0.9232005,1.644807,0.8195409,0.06718048,-0.07929058,-0.02999183,-0.9941329
1715345040876,0.9226009,1.645228,0.8198925,0.06882006,-0.07629418,-0.03070523,-0.9942335
1715345040890,0.9216934,1.64585,0.8200673,0.07166018,-0.07164073,-0.0331413,-0.9943008
1715345040903,0.9209396,1.646124,0.8204541,0.07435576,-0.06808572,-0.03402908,-0.9943227
1715345040916,0.9201502,1.646457,0.8208904,0.07674263,-0.06462312,-0.03477823,-0.9943466
1715345040931,0.9194419,1.64666,0.8209223,0.07509243,-0.06009225,-0.03495603,-0.9947503
1715345040944,0.9187011,1.647013,0.8211952,0.07647137,-0.05657405,-0.03566075,-0.9948266
1715345040960,0.9179618,1.647366,0.8214675,0.07784588,-0.0530635,-0.03636326,-0.9948879
1715345040973,0.9177138,1.646448,0.8219712,0.07602577,-0.04727481,-0.03660174,-0.9953117
1715345040987,0.9170986,1.64656,0.8222757,0.07691747,-0.0433819,-0.03725989,-0.9953961
1715345041000,0.9169978,1.646533,0.8226023,0.07974897,-0.03919123,-0.03954281,-0.995259
1715345041074,0.9164951,1.646602,0.8229095,0.08096138,-0.03525335,-0.04047037,-0.9952711
