Timestamp,PosX,PosY,PosZ,QuaX,QuaY,QuaZ,QuaW
1715348647954,0.9087555,0.1049216,0.7346994,0.01346031,0.5198601,0.8538593,0.0221076
1715348648027,0.8941013,0.1066312,0.7629923,-0.02126183,0.5229785,0.8502574,0.05571275
1715348648062,0.914985,0.0999999,0.7570468,-0.007654109,0.5059641,0.8618691,0.03352147
1715348648103,0.9149705,0.0999999,0.7570869,-0.007591468,0.5059666,0.8618697,0.03348246
1715348648132,0.9149413,0.0999999,0.7571647,-0.00742486,0.5060125,0.8618484,0.03337695
1715348648148,0.914899,0.09999979,0.757275,-0.007137183,0.5061226,0.8617935,0.03318316
1715348648162,0.9148662,0.0999999,0.7573656,-0.006874322,0.5062243,0.8617428,0.03300607
1715348648176,0.9148479,0.0999999,0.7574182,-0.006718206,0.5062807,0.8617145,0.03290404
1715348648190,0.9148312,0.1,0.7574682,-0.006562047,0.5063267,0.8616925,0.0328085
1715348648204,0.9148143,0.09999979,0.7575202,-0.006403742,0.5063729,0.8616703,0.03271298
1715348648217,0.9147977,0.0999999,0.7575741,-0.006236885,0.5064155,0.86165,0.03261929
1715348648231,0.9147807,0.0999999,0.7576308,-0.006063792,0.5064529,0.8616328,0.03252567
1715348648246,0.9147645,0.1000001,0.7576859,-0.00590033,0.5064877,0.8616166,0.03243872
1715348648259,0.9147483,0.1000001,0.7577447,-0.005730457,0.5065237,0.8616,0.03235018
1715348648273,0.9147307,0.1000003,0.7578111,-0.005545881,0.5065628,0.8615816,0.03225507
1715348648287,0.9147156,0.1,0.7578624,-0.005415075,0.5065934,0.8615674,0.03218415
1715348648301,0.9146973,0.1000001,0.7579261,-0.005259699,0.5066293,0.8615502,0.03210052
1715348648315,0.9146788,0.1000001,0.7579858,-0.005127475,0.5066632,0.8615338,0.03202679
1715348648328,0.9146581,0.1000001,0.7580478,-0.005003651,0.5066849,0.8615245,0.03195529
1715348648342,0.9146382,0.0999999,0.7581103,-0.004885713,0.5067022,0.8615176,0.0318878
1715348648355,0.9146166,0.1,0.7581738,-0.00478386,0.5066959,0.861524,0.03183195
1715348648370,0.9145955,0.1000001,0.7582381,-0.004685448,0.5066891,0.8615305,0.03177801
1715348648383,0.9145761,0.0999999,0.7583026,-0.004590851,0.5066684,0.8615446,0.03173317
1715348648397,0.9145544,0.0999999,0.7583776,-0.004486361,0.5066388,0.8615643,0.03168691
1715348648411,0.9145349,0.09999967,0.7584502,-0.004390172,0.5066061,0.8615856,0.03164705
