Timestamp,LeftRoll,LeftFootHeight,RightRoll,RightFootHeight
1715828890021,4.924049,0.02145878,3.60148,0.01570407
1715828890096,4.925802,0.0214664,3.6021,0.01570677
1715828890121,4.928419,0.02147778,3.602965,0.01571054
1715828890135,4.928916,0.02147994,3.603036,0.01571085
1715828890152,4.928916,0.02147994,3.603036,0.01571085
1715828890164,4.929997,0.02148464,3.603241,0.01571174
1715828890178,4.930581,0.02148717,3.603486,0.01571281
1715828890193,4.930581,0.02148717,3.603486,0.01571281
1715828890206,4.930581,0.02148717,3.603486,0.01571281
1715828890221,4.932796,0.0214968,3.604692,0.01571806
1715828890235,4.933354,0.02149923,3.60486,0.01571879
1715828890249,4.934664,0.02150492,3.604983,0.01571933
1715828890279,4.935367,0.02150798,3.605117,0.01571991
1715828890291,4.935367,0.02150798,3.605117,0.01571991
1715828890305,4.935367,0.02150798,3.605117,0.01571991
1715828890318,4.937145,0.02151571,3.605306,0.01572074
1715828890332,4.939978,0.02152803,3.605615,0.01572208
1715828890346,4.942252,0.02153791,3.606163,0.01572447
1715828890361,4.943337,0.02154263,3.60654,0.01572611
1715828890374,4.944342,0.021547,3.606897,0.01572767
1715828890388,4.944342,0.021547,3.606897,0.01572767
1715828890402,4.944342,0.021547,3.606897,0.01572767
1715828890415,4.944342,0.021547,3.606897,0.01572767
1715828890429,4.950761,0.0215749,3.60836,0.01573404
1715828890443,4.950761,0.0215749,3.60836,0.01573404
1715828890457,4.954285,0.02159022,3.608774,0.01573584
1715828890470,4.956273,0.02159886,3.60896,0.01573665
1715828890484,4.958515,0.02160861,3.60915,0.01573748
1715828890498,4.958515,0.02160861,3.60915,0.01573748
1715828890512,4.958515,0.02160861,3.60915,0.01573748
1715828890525,4.963171,0.02162885,3.609625,0.01573954
1715828890539,4.969557,0.0216566,3.609914,0.0157408
1715828890553,4.971516,0.02166512,3.609911,0.01574079
1715828890567,4.97347,0.02167362,3.609903,0.01574075
1715828890581,4.975339,0.02168174,3.609863,0.01574058
1715828890595,4.975339,0.02168174,3.609863,0.01574058
1715828890609,4.975339,0.02168174,3.609863,0.01574058
1715828890623,4.977181,0.02168975,3.609838,0.01574047
1715828890637,4.984166,0.02172011,3.610134,0.01574176
1715828890651,4.985736,0.02172693,3.610279,0.01574239
1715828890665,4.988939,0.02174086,3.610468,0.01574321
1715828890678,4.990496,0.02174762,3.610513,0.01574341
1715828890692,4.990496,0.02174762,3.610513,0.01574341
1715828890706,4.990496,0.02174762,3.610513,0.01574341
1715828890720,4.990496,0.02174762,3.610513,0.01574341
1715828890734,4.996949,0.02177567,3.611037,0.01574569
1715828890748,5.000509,0.02179115,3.611477,0.01574761
1715828890762,5.002271,0.02179881,3.6117,0.01574858
1715828890776,5.004051,0.02180655,3.61189,0.01574941
1715828890790,5.00598,0.02181493,3.61213,0.01575045
1715828890804,5.00598,0.02181493,3.61213,0.01575045
1715828890818,5.00598,0.02181493,3.61213,0.01575045
1715828890832,5.011223,0.02183772,3.612789,0.01575332
1715828890845,5.014511,0.02185201,3.613061,0.01575451
1715828890859,5.016169,0.02185922,3.6132,0.01575511
1715828890873,5.01782,0.02186639,3.613375,0.01575587
1715828890888,5.01949,0.02187365,3.613541,0.0157566
1715828890901,5.01949,0.02187365,3.613541,0.0157566
1715828890914,5.01949,0.02187365,3.613541,0.0157566
1715828890929,5.01949,0.02187365,3.613541,0.0157566
1715828890943,5.026903,0.02190587,3.614371,0.01576021
1715828890957,5.02845,0.0219126,3.614716,0.01576171
1715828890970,5.030117,0.02191984,3.61509,0.01576334
1715828890983,5.031981,0.02192795,3.615441,0.01576487
1715828890998,5.033946,0.02193649,3.6158,0.01576643
1715828891012,5.033946,0.02193649,3.6158,0.01576643
1715828891026,5.033946,0.02193649,3.6158,0.01576643
1715828891040,5.03973,0.02196163,3.616713,0.01577041
1715828891053,5.045579,0.02198705,3.617486,0.01577378
1715828891067,5.047338,0.02199469,3.617697,0.0157747
1715828891082,5.049048,0.02200213,3.617913,0.01577564
1715828891095,5.050643,0.02200906,3.61808,0.01577636
1715828891109,5.050643,0.02200906,3.61808,0.01577636
1715828891123,5.050643,0.02200906,3.61808,0.01577636
1715828891137,5.052149,0.0220156,3.618209,0.01577692
1715828891151,5.05822,0.02204199,3.618495,0.01577817
1715828891164,5.059971,0.0220496,3.618731,0.0157792
1715828891178,5.061669,0.02205698,3.618966,0.01578022
1715828891192,5.063567,0.02206523,3.619204,0.01578126
1715828891207,5.063567,0.02206523,3.619204,0.01578126
1715828891220,5.063567,0.02206523,3.619204,0.01578126
1715828891234,5.063567,0.02206523,3.619204,0.01578126
1715828891249,5.071488,0.02209966,3.619948,0.0157845
1715828891262,5.075176,0.02211569,3.620471,0.01578677
1715828891276,5.076953,0.02212341,3.620718,0.01578785
1715828891290,5.078611,0.02213061,3.621012,0.01578913
1715828891304,5.080183,0.02213745,3.621302,0.01579039
1715828891318,5.080183,0.02213745,3.621302,0.01579039
1715828891331,5.080183,0.02213745,3.621302,0.01579039
1715828891346,5.083024,0.0221498,3.621666,0.01579198
1715828891360,5.085734,0.02216157,3.622038,0.0157936
1715828891374,5.088367,0.02217302,3.62228,0.01579465
1715828891387,5.09095,0.02218424,3.622438,0.01579534
1715828891401,5.092118,0.02218932,3.622476,0.01579551
1715828891415,5.092118,0.02218932,3.622476,0.01579551
1715828891429,5.092118,0.02218932,3.622476,0.01579551
1715828891443,5.092118,0.02218932,3.622476,0.01579551
