Timestamp,PosX,PosY,PosZ,QuaX,QuaY,QuaZ,QuaW
1717670142453,1.141245,-0.2440784,-0.1083009,-0.01345999,0.51986,0.8538592,-0.02210842
1717670143152,1.14467,-0.2418495,-0.09013069,0.04432937,0.5190724,0.8522298,-0.04799147
1717670143221,1.134989,-0.2490001,-0.08597257,0.05391836,0.7091532,0.7018278,-0.04040561
1717670143247,1.134929,-0.249,-0.08596339,0.05406133,0.7092561,0.7016962,-0.04069182
1717670143293,1.134902,-0.2490001,-0.08599024,0.05419162,0.7093285,0.7016013,-0.04089691
1717670143323,1.13485,-0.2489998,-0.0860614,0.05449754,0.7094686,0.701409,-0.04135003
1717670143344,1.134813,-0.2490001,-0.08612082,0.05475269,0.7095497,0.7012867,-0.04169563
1717670143360,1.134787,-0.249,-0.08616541,0.05495292,0.7095977,0.7012075,-0.04195279
1717670143373,1.134766,-0.2489997,-0.0861978,0.05510623,0.709631,0.7011498,-0.04214693
1717670143386,1.134752,-0.2490001,-0.08622188,0.05522468,0.7096556,0.7011067,-0.04229593
1717670143395,1.134735,-0.2490001,-0.08624598,0.05535178,0.7096815,0.7010609,-0.04245538
1717670143407,1.134724,-0.2490001,-0.086261,0.05543366,0.7096982,0.7010309,-0.04255953
1717670143423,1.134708,-0.2490001,-0.08627836,0.05553944,0.7097236,0.7009888,-0.04269975
1717670143449,1.134687,-0.249,-0.08629913,0.05567999,0.7097558,0.7009331,-0.04288587
1717670143458,1.13465,-0.2489998,-0.08631689,0.05585964,0.7097884,0.7008697,-0.04314821
1717670143469,1.134637,-0.2490001,-0.08632115,0.0559239,0.7097993,0.7008481,-0.04324258
1717670143484,1.134619,-0.2489998,-0.08632156,0.05599288,0.7097989,0.7008359,-0.04335081
1717670143498,1.134594,-0.2489998,-0.08631822,0.05608252,0.7097955,0.7008238,-0.04349224
1717670143507,1.134573,-0.2489998,-0.08631162,0.05616192,0.7097849,0.7008206,-0.04361375
1717670143515,1.134561,-0.2489998,-0.08630551,0.05620861,0.7097727,0.700825,-0.04368247
1717670143521,1.134549,-0.2490001,-0.08629843,0.05625471,0.7097605,0.7008294,-0.04375003
1717670143528,1.134538,-0.249,-0.08629156,0.05629396,0.7097499,0.7008334,-0.04380729
1717670143545,1.134528,-0.2489998,-0.08628333,0.05633359,0.7097371,0.7008394,-0.04386368
1717670143552,1.134506,-0.249,-0.08625869,0.05642768,0.7096951,0.7008668,-0.04399038
1717670143560,1.134496,-0.2490001,-0.08624484,0.05647263,0.709675,0.7008795,-0.0440505
1717670143568,1.134486,-0.2489998,-0.08622941,0.05651624,0.7096542,0.7008934,-0.04410967
1717670143575,1.134479,-0.2490003,-0.08621354,0.05654938,0.7096311,0.7009109,-0.04416154
1717670143582,1.134471,-0.2489996,-0.08619716,0.05658415,0.7096072,0.7009287,-0.04421545
1717670143588,1.134465,-0.2489998,-0.08618202,0.05661578,0.7095855,0.7009452,-0.04426425
1717670143596,1.134458,-0.249,-0.08616782,0.05664594,0.7095646,0.7009611,-0.04431047
1717670143602,1.134452,-0.249,-0.08614934,0.05667574,0.7095383,0.7009818,-0.04436379
1717670143609,1.134449,-0.2489998,-0.08613171,0.05669355,0.7095131,0.701003,-0.04440649
1717670143617,1.134446,-0.2489998,-0.08611377,0.05671182,0.7094877,0.7010244,-0.04445026
1717670143625,1.134441,-0.2490001,-0.08609118,0.05673543,0.7094556,0.7010517,-0.04450574
1717670143632,1.134438,-0.2490002,-0.08606993,0.05675728,0.7094264,0.7010762,-0.04455649
1717670143640,1.134438,-0.2490001,-0.08604474,0.05676247,0.709393,0.7011071,-0.04459332
1717670143648,1.134439,-0.2490001,-0.08601902,0.05676499,0.7093601,0.7011383,-0.04462697
1717670143655,1.13444,-0.249,-0.08599099,0.05676823,0.7093245,0.7011719,-0.04466355
1717670143662,1.134441,-0.2490003,-0.08596509,0.05677153,0.709292,0.7012023,-0.04469731
1717670143669,1.134443,-0.2489998,-0.08593757,0.05676624,0.7092591,0.7012344,-0.04471923
1717670143677,1.134447,-0.2489998,-0.08590812,0.05675028,0.7092271,0.7012676,-0.04472666
1717670143684,1.134453,-0.2489998,-0.0858747,0.05673274,0.7091908,0.701305,-0.04473526
1717670143696,1.134457,-0.249,-0.08584148,0.05671602,0.709155,0.7013424,-0.04474404
1717670143703,1.134466,-0.2489998,-0.08578565,0.0566841,0.7090968,0.701403,-0.04474969
1717670143710,1.134472,-0.2490003,-0.08574869,0.05665616,0.7090609,0.7014425,-0.04473961
1717670143717,1.134479,-0.2489998,-0.08571342,0.05663046,0.7090269,0.7014794,-0.04473048
1717670143726,1.134485,-0.2490001,-0.08567563,0.0566036,0.7089907,0.7015187,-0.04472106
1717670143734,1.134493,-0.2490001,-0.08563001,0.05657241,0.7089478,0.7015656,-0.04471034
1717670143740,1.134502,-0.2490001,-0.08558566,0.0565405,0.7089072,0.7016096,-0.04469875
1717670143749,1.13451,-0.2490002,-0.08554783,0.05651402,0.7088735,0.7016464,-0.04468923
1717670143756,1.134519,-0.2490001,-0.08550405,0.05648462,0.7088344,0.7016888,-0.04467879
1717670143763,1.134526,-0.249,-0.08546298,0.05645829,0.7087989,0.7017276,-0.04466965
1717670143771,1.134536,-0.2490003,-0.08541957,0.05643308,0.7087605,0.7017685,-0.04466486
1717670143783,1.134546,-0.2490001,-0.08537243,0.05640865,0.7087183,0.7018132,-0.0446646
1717670143798,1.134562,-0.2490001,-0.08529896,0.05637319,0.7086539,0.7018812,-0.04466536
1717670143806,1.134584,-0.2489998,-0.08521088,0.05633487,0.7085764,0.7019628,-0.04466046
1717670143812,1.134599,-0.2490001,-0.08516393,0.05631647,0.7085344,0.7020074,-0.04465257
1717670143820,1.134612,-0.2490004,-0.08512101,0.05630045,0.7084963,0.7020473,-0.04464585
1717670143829,1.134627,-0.2489998,-0.08506892,0.05628235,0.7084509,0.702095,-0.04463834
1717670143836,1.134645,-0.2490001,-0.0850151,0.05626374,0.7084036,0.7021452,-0.04462362
1717670143849,1.134666,-0.2490001,-0.08495987,0.05624331,0.708353,0.7021999,-0.04459064
1717670143857,1.134701,-0.249,-0.08486939,0.05621273,0.7082723,0.7022868,-0.04453944
1717670143865,1.134725,-0.249,-0.08480572,0.05619308,0.7082172,0.7023464,-0.04450504
1717670143878,1.13475,-0.2490001,-0.08474167,0.05617199,0.7081607,0.7024078,-0.04446158
1717670143891,1.134794,-0.2490001,-0.08463409,0.05613737,0.7080653,0.7025117,-0.04438296
1717670143905,1.134836,-0.2490002,-0.08452695,0.0561061,0.7079717,0.7026132,-0.04430759
1717670143913,1.134879,-0.2490001,-0.08441796,0.05607177,0.7078971,0.7026961,-0.04423052
1717670143920,1.134903,-0.2490001,-0.08435627,0.05605336,0.7078559,0.7027417,-0.04418754
1717670143929,1.13493,-0.2489996,-0.08428881,0.05603425,0.7078104,0.7027918,-0.04414121
1717670143936,1.134955,-0.2490002,-0.0842228,0.05601437,0.707773,0.7028341,-0.04409597
1717670143943,1.134977,-0.2489998,-0.08415846,0.05599162,0.7077512,0.7028604,-0.04405219
1717670143950,1.134995,-0.2490001,-0.08410274,0.05597253,0.7077321,0.7028838,-0.04401436
1717670143959,1.135016,-0.2490001,-0.08404402,0.05595331,0.7077115,0.7029082,-0.0439746
1717670143971,1.135039,-0.249,-0.08397745,0.05593225,0.7076879,0.7029366,-0.04392961
1717670143982,1.135072,-0.249,-0.0838855,0.05589958,0.7076778,0.7029547,-0.04384491
1717670143996,1.135104,-0.249,-0.08379775,0.05586962,0.7076682,0.7029719,-0.04376183
1717670144009,1.135143,-0.2489997,-0.08370086,0.05584157,0.7076622,0.7029864,-0.04366133
1717670144016,1.135186,-0.2490001,-0.08361312,0.05582845,0.7076713,0.7029854,-0.04354973
1717670144024,1.135213,-0.2490001,-0.08355986,0.0558222,0.7076767,0.7029846,-0.04348226
1717670144032,1.135239,-0.2489998,-0.08350775,0.05581724,0.707682,0.7029836,-0.04341665
1717670144040,1.135272,-0.2489998,-0.08345122,0.05582232,0.7076961,0.7029738,-0.04333971
1717670144048,1.135304,-0.2490001,-0.08339889,0.05583087,0.7077107,0.7029629,-0.04326748
1717670144057,1.135332,-0.2490003,-0.08335353,0.05583952,0.7077236,0.7029529,-0.04320485
1717670144067,1.135365,-0.2490001,-0.08330042,0.0558512,0.7077389,0.7029411,-0.04313172
1717670144073,1.135406,-0.2490001,-0.08324192,0.05586854,0.7077615,0.7029221,-0.043048
1717670144079,1.135438,-0.2490001,-0.08319751,0.05588387,0.7077808,0.7029057,-0.04298338
1717670144086,1.135465,-0.2490001,-0.08316094,0.05589747,0.7077965,0.7028919,-0.04293049
1717670144096,1.135495,-0.2489998,-0.08312064,0.05591347,0.707814,0.7028766,-0.04287294
1717670144103,1.13554,-0.2490002,-0.0830619,0.05593676,0.7078434,0.7028502,-0.04278801
1717670144111,1.135573,-0.2489998,-0.08302248,0.05595144,0.7078674,0.7028281,-0.04273106
1717670144117,1.135608,-0.2489998,-0.08297936,0.05596873,0.7078944,0.7028034,-0.04266893
1717670144125,1.135642,-0.249,-0.08293926,0.05598603,0.7079193,0.7027803,-0.04261141
1717670144132,1.135675,-0.2490002,-0.08289961,0.05600445,0.7079448,0.7027569,-0.04255468
1717670144139,1.135712,-0.2489998,-0.08285975,0.05602164,0.7079782,0.702725,-0.04250075
1717670144148,1.13575,-0.2489998,-0.08281723,0.05604092,0.708016,0.7026888,-0.04244436
1717670144163,1.135792,-0.2490001,-0.08277262,0.05606265,0.7080562,0.7026501,-0.04238564
1717670144170,1.13587,-0.249,-0.08269218,0.05610342,0.7081341,0.7025749,-0.04228001
1717670144179,1.135911,-0.2490001,-0.08264985,0.05612179,0.7081816,0.7025288,-0.04222395
1717670144187,1.135955,-0.249,-0.0826069,0.05614201,0.708231,0.7024809,-0.04216747
1717670144194,1.135997,-0.2490001,-0.08256608,0.05616274,0.7082787,0.7024342,-0.04211426
1717670144202,1.136038,-0.2490001,-0.08252604,0.05618253,0.7083259,0.7023884,-0.04206128
1717670144210,1.136083,-0.2489998,-0.08248246,0.05619708,0.7083784,0.7023379,-0.04199846
1717670144219,1.136131,-0.2489998,-0.08243766,0.05621369,0.7084333,0.7022849,-0.04193456
1717670144224,1.136174,-0.2489996,-0.08239781,0.05622997,0.7084831,0.7022368,-0.04187792
1717670144232,1.136209,-0.2489998,-0.08236533,0.05624416,0.7085239,0.7021971,-0.04183249
1717670144239,1.136246,-0.2490001,-0.08233134,0.056253,0.7085638,0.7021593,-0.04177763
1717670144246,1.136289,-0.2489998,-0.08229101,0.05626339,0.708611,0.7021148,-0.04171213
1717670144255,1.13633,-0.2490003,-0.08225422,0.05627414,0.7086546,0.7020734,-0.04165291
1717670144261,1.136375,-0.2490003,-0.08221383,0.05628742,0.7087038,0.7020267,-0.04158788
1717670144269,1.136415,-0.2490001,-0.08217808,0.05629674,0.7087457,0.7019873,-0.04152583
1717670144276,1.136457,-0.2489998,-0.08214221,0.05630188,0.7087857,0.7019506,-0.0414564
1717670144285,1.136501,-0.2489998,-0.08210403,0.05630833,0.7088288,0.7019109,-0.04138263
1717670144293,1.136554,-0.2489998,-0.08206003,0.05631736,0.7088797,0.7018637,-0.04129735
1717670144300,1.136595,-0.2490001,-0.08202643,0.05632523,0.7089192,0.7018272,-0.04123264
1717670144314,1.136646,-0.2489998,-0.08198536,0.0563233,0.7089627,0.701789,-0.04113755
1717670144320,1.136733,-0.2490001,-0.08191568,0.05632141,0.7090374,0.7017229,-0.04097542
1717670144328,1.136776,-0.2490001,-0.08188278,0.05632168,0.709074,0.7016906,-0.04089835
1717670144335,1.136821,-0.2490001,-0.08184802,0.05632021,0.7091115,0.7016574,-0.04081459
1717670144343,1.136873,-0.2489998,-0.08180708,0.05631028,0.7091532,0.7016227,-0.04070605
1717670144350,1.136923,-0.249,-0.08176894,0.05630164,0.7091928,0.7015894,-0.04060416
1717670144357,1.136969,-0.2489998,-0.08173416,0.0562945,0.7092291,0.7015585,-0.04051119
1717670144363,1.137014,-0.249,-0.08170079,0.05628828,0.7092643,0.7015285,-0.0404223
1717670144370,1.137057,-0.2490001,-0.08166783,0.05627906,0.7092965,0.7015018,-0.04033012
1717670144377,1.137101,-0.249,-0.0816345,0.05626815,0.7093276,0.7014769,-0.04023347
