Timestamp,PosX,PosY,PosZ,QuaX,QuaY,QuaZ,QuaW
1718332295128,0.9587554,-0.2440784,-0.1083006,0.01346031,0.5198601,0.8538593,0.0221076
1718332296188,0.944083,-0.2423639,-0.08001757,-0.0212601,0.5229945,0.8502466,0.0557313
1718332296256,0.964989,-0.04900026,0.2890345,-0.0160312,0.7106581,0.702697,0.03041633
1718332296278,0.9649266,-0.04899991,0.2892022,-0.01578575,0.7107105,0.7026637,0.03009239
1718332296300,0.9649029,-0.04900014,0.2892647,-0.01565895,0.7107663,0.7026178,0.02990999
1718332296319,0.964878,-0.04900062,0.2893317,-0.01551779,0.7108273,0.702568,0.02970735
1718332296338,0.964856,-0.04899991,0.2893935,-0.01538063,0.7108838,0.702522,0.029513
1718332296356,0.9648327,-0.04899979,0.2894629,-0.01522298,0.7109385,0.7024788,0.02930012
1718332296369,0.96481,-0.0490005,0.2895325,-0.015068,0.7109888,0.7024401,0.02909276
1718332296382,0.9647949,-0.04900026,0.2895818,-0.01495493,0.7110171,0.7024198,0.02895126
1718332296393,0.9647788,-0.04899991,0.2896348,-0.01483811,0.7110453,0.7023994,0.02880508
1718332296404,0.9647658,-0.04900002,0.28968,-0.01474087,0.7110686,0.7023828,0.02868304
1718332296415,0.9647534,-0.04900038,0.289725,-0.01464704,0.7110908,0.7023674,0.02856566
1718332296426,0.9647416,-0.04899979,0.2897689,-0.01455752,0.7111118,0.7023525,0.02845315
1718332296436,0.9647287,-0.04899979,0.2898161,-0.01446597,0.7111334,0.7023371,0.02833659
1718332296449,0.9647149,-0.04900002,0.2898626,-0.01438309,0.7111557,0.7023209,0.02822429
1718332296461,0.9647002,-0.0490005,0.2899147,-0.01429411,0.7111799,0.7023031,0.02810335
1718332296473,0.9646843,-0.04900026,0.2899678,-0.01420916,0.7112014,0.7022878,0.02798379
1718332296486,0.9646662,-0.04900002,0.2900223,-0.01413374,0.711216,0.7022792,0.02786723
1718332296500,0.9646477,-0.04899979,0.2900794,-0.01405873,0.7112305,0.7022706,0.02775059
1718332296512,0.9646254,-0.04900002,0.2901468,-0.01398334,0.7112323,0.7022751,0.0276281
1718332296526,0.9646065,-0.04900014,0.2902029,-0.01392723,0.711227,0.7022851,0.02753375
1718332296538,0.9645867,-0.04900002,0.290265,-0.01386813,0.7112192,0.7022979,0.02743515
1718332296550,0.9645685,-0.04900026,0.2903277,-0.01381207,0.7111983,0.7023237,0.02735005
1718332296561,0.9645501,-0.04900062,0.290392,-0.01375695,0.7111773,0.7023491,0.02726607
1718332296572,0.9645353,-0.04900002,0.2904484,-0.0137109,0.7111562,0.7023742,0.02719793
1718332296582,0.9645208,-0.0490005,0.2905113,-0.01366205,0.7111256,0.7024084,0.0271315
