Timestamp,PosX,PosY,PosZ,QuaX,QuaY,QuaZ,QuaW
1718339615121,1.05,1.316,0.069,0,0,0,1
1718339615841,1.05,1.316,0.069,0,0,0,1
1718339615893,1.05,1.316,0.069,0,0,0,1
1718339615914,1.05,1.316,0.069,0,0,0,1
1718339615925,1.05,1.316,0.069,0,0,0,1
1718339615960,1.05,1.316,0.069,0,0,0,1
1718339615990,1.05,1.316,0.069,0,0,0,1
1718339616021,1.05,1.316,0.069,0,0,0,1
1718339616043,1.05,1.316,0.069,0,0,0,1
1718339616064,1.05,1.316,0.069,0,0,0,1
1718339616074,1.05,1.316,0.069,0,0,0,1
1718339616084,1.05,1.316,0.069,0,0,0,1
1718339616093,1.05,1.316,0.069,0,0,0,1
1718339616103,1.05,1.316,0.069,0,0,0,1
1718339616115,1.05,1.316,0.069,0,0,0,1
1718339616125,1.05,1.316,0.069,0,0,0,1
1718339616135,1.05,1.316,0.069,0,0,0,1
1718339616145,1.05,1.316,0.069,0,0,0,1
1718339616155,1.05,1.316,0.069,0,0,0,1
1718339616163,1.05,1.316,0.069,0,0,0,1
1718339616175,1.05,1.316,0.069,0,0,0,1
1718339616185,1.05,1.316,0.069,0,0,0,1
1718339616195,1.05,1.316,0.069,0,0,0,1
1718339616209,1.05,1.316,0.069,0,0,0,1
1718339616219,1.05,1.316,0.069,0,0,0,1
1718339616229,1.05,1.316,0.069,0,0,0,1
1718339616238,1.05,1.316,0.069,0,0,0,1
1718339616247,1.05,1.316,0.069,0,0,0,1
1718339616257,1.05,1.316,0.069,0,0,0,1
1718339616265,1.05,1.316,0.069,0,0,0,1
1718339616276,1.05,1.316,0.069,0,0,0,1
1718339616286,1.05,1.316,0.069,0,0,0,1
1718339616295,1.05,1.316,0.069,0,0,0,1
1718339616305,1.05,1.316,0.069,0,0,0,1
1718339616314,1.05,1.316,0.069,0,0,0,1
1718339616323,1.05,1.316,0.069,0,0,0,1
1718339616333,1.05,1.316,0.069,0,0,0,1
1718339616344,1.05,1.316,0.069,0,0,0,1
1718339616354,1.05,1.316,0.069,0,0,0,1
1718339616370,1.05,1.316,0.069,0,0,0,1
1718339616379,1.05,1.316,0.069,0,0,0,1
1718339616390,1.05,1.316,0.069,0,0,0,1
1718339616401,1.05,1.316,0.069,0,0,0,1
1718339616409,1.05,1.316,0.069,0,0,0,1
1718339616419,1.05,1.316,0.069,0,0,0,1
1718339616429,1.05,1.316,0.069,0,0,0,1
1718339616439,1.05,1.316,0.069,0,0,0,1
1718339616450,1.05,1.316,0.069,0,0,0,1
1718339616461,1.05,1.316,0.069,0,0,0,1
1718339616470,1.05,1.316,0.069,0,0,0,1
1718339616483,1.05,1.316,0.069,0,0,0,1
1718339616493,1.05,1.316,0.069,0,0,0,1
1718339616504,1.05,1.316,0.069,0,0,0,1
1718339616513,1.05,1.316,0.069,0,0,0,1
1718339616525,1.05,1.316,0.069,0,0,0,1
1718339616534,1.05,1.316,0.069,0,0,0,1
1718339616544,1.05,1.316,0.069,0,0,0,1
1718339616555,1.05,1.316,0.069,0,0,0,1
1718339616563,1.05,1.316,0.069,0,0,0,1
1718339616573,1.05,1.316,0.069,0,0,0,1
1718339616582,1.05,1.316,0.069,0,0,0,1
1718339616591,1.05,1.316,0.069,0,0,0,1
1718339616599,1.05,1.316,0.069,0,0,0,1
1718339616609,1.05,1.316,0.069,0,0,0,1
1718339616618,1.05,1.316,0.069,0,0,0,1
1718339616627,1.05,1.316,0.069,0,0,0,1
1718339616635,1.05,1.316,0.069,0,0,0,1
1718339616645,1.05,1.316,0.069,0,0,0,1
1718339616655,1.05,1.316,0.069,0,0,0,1
1718339616665,1.05,1.316,0.069,0,0,0,1
1718339616680,1.05,1.316,0.069,0,0,0,1
1718339616689,1.05,1.316,0.069,0,0,0,1
1718339616700,1.05,1.316,0.069,0,0,0,1
1718339616709,1.05,1.316,0.069,0,0,0,1
1718339616718,1.05,1.316,0.069,0,0,0,1
1718339616728,1.05,1.316,0.069,0,0,0,1
1718339616738,1.05,1.316,0.069,0,0,0,1
1718339616748,1.05,1.316,0.069,0,0,0,1
1718339616759,1.05,1.316,0.069,0,0,0,1
1718339616768,1.05,1.316,0.069,0,0,0,1
1718339616778,1.05,1.316,0.069,0,0,0,1
1718339616788,1.05,1.316,0.069,0,0,0,1
1718339616798,1.05,1.316,0.069,0,0,0,1
1718339616808,1.05,1.316,0.069,0,0,0,1
1718339616818,1.05,1.316,0.069,0,0,0,1
1718339616834,1.05,1.316,0.069,0,0,0,1
1718339616844,1.05,1.316,0.069,0,0,0,1
1718339616854,1.05,1.316,0.069,0,0,0,1
1718339616864,1.05,1.316,0.069,0,0,0,1
1718339616874,1.05,1.316,0.069,0,0,0,1
1718339616884,1.05,1.316,0.069,0,0,0,1
1718339616892,1.05,1.316,0.069,0,0,0,1
1718339616904,1.05,1.316,0.069,0,0,0,1
1718339616915,1.05,1.316,0.069,0,0,0,1
1718339616925,1.05,1.316,0.069,0,0,0,1
1718339616935,1.05,1.316,0.069,0,0,0,1
1718339616945,1.05,1.316,0.069,0,0,0,1
1718339616956,1.05,1.316,0.069,0,0,0,1
1718339616964,1.05,1.316,0.069,0,0,0,1
1718339616974,1.05,1.316,0.069,0,0,0,1
1718339616991,1.05,1.316,0.069,0,0,0,1
1718339617001,1.05,1.316,0.069,0,0,0,1
1718339617010,1.05,1.316,0.069,0,0,0,1
1718339617021,1.05,1.316,0.069,0,0,0,1
