Timestamp,PosX,PosY,PosZ,QuaX,QuaY,QuaZ,QuaW
1715590454983,1,1.66,0.71,0,0,0,1
1715590455638,1,1.66,0.71,0,0,0,1
1715590455679,1,1.66,0.71,0,0,0,1
1715590455687,1,1.66,0.71,0,0,0,1
1715590455691,1,1.66,0.71,0,0,0,1
1715590455695,1,1.66,0.71,0,0,0,1
1715590455700,1,1.66,0.71,0,0,0,1
1715590455704,1,1.66,0.71,0,0,0,1
1715590455708,1,1.66,0.71,0,0,0,1
1715590455713,1,1.66,0.71,0,0,0,1
1715590455718,1,1.66,0.71,0,0,0,1
1715590455723,1,1.66,0.71,0,0,0,1
1715590455727,1,1.66,0.71,0,0,0,1
1715590455732,1,1.66,0.71,0,0,0,1
1715590455736,1,1.66,0.71,0,0,0,1
1715590455740,1,1.66,0.71,0,0,0,1
1715590455745,1,1.66,0.71,0,0,0,1
1715590455748,1,1.66,0.71,0,0,0,1
1715590455752,1,1.66,0.71,0,0,0,1
1715590455757,1,1.66,0.71,0,0,0,1
1715590455762,1,1.66,0.71,0,0,0,1
1715590455767,1,1.66,0.71,0,0,0,1
1715590455778,1,1.66,0.71,0,0,0,1
1715590455782,1,1.66,0.71,0,0,0,1
1715590455786,1,1.66,0.71,0,0,0,1
1715590455791,1,1.66,0.71,0,0,0,1
1715590455795,1,1.66,0.71,0,0,0,1
1715590455800,1,1.66,0.71,0,0,0,1
1715590455805,1,1.66,0.71,0,0,0,1
1715590455809,1,1.66,0.71,0,0,0,1
1715590455814,1,1.66,0.71,0,0,0,1
1715590455820,1,1.66,0.71,0,0,0,1
1715590455824,1,1.66,0.71,0,0,0,1
1715590455829,1,1.66,0.71,0,0,0,1
1715590455834,1,1.66,0.71,0,0,0,1
1715590455839,1,1.66,0.71,0,0,0,1
1715590455843,1,1.66,0.71,0,0,0,1
1715590455847,1,1.66,0.71,0,0,0,1
1715590455851,1,1.66,0.71,0,0,0,1
1715590455856,1,1.66,0.71,0,0,0,1
1715590455860,1,1.66,0.71,0,0,0,1
1715590455865,1,1.66,0.71,0,0,0,1
1715590455868,1,1.66,0.71,0,0,0,1
1715590455873,1,1.66,0.71,0,0,0,1
1715590455878,1,1.66,0.71,0,0,0,1
1715590455882,1,1.66,0.71,0,0,0,1
1715590455886,1,1.66,0.71,0,0,0,1
1715590455890,1,1.66,0.71,0,0,0,1
1715590455895,1,1.66,0.71,0,0,0,1
1715590455899,1,1.66,0.71,0,0,0,1
1715590455903,1,1.66,0.71,0,0,0,1
1715590455907,1,1.66,0.71,0,0,0,1
1715590455911,1,1.66,0.71,0,0,0,1
1715590455916,1,1.66,0.71,0,0,0,1
1715590455920,1,1.66,0.71,0,0,0,1
1715590455932,1,1.66,0.71,0,0,0,1
1715590455936,1,1.66,0.71,0,0,0,1
1715590455940,1,1.66,0.71,0,0,0,1
1715590455943,1,1.66,0.71,0,0,0,1
1715590455948,1,1.66,0.71,0,0,0,1
1715590455951,1,1.66,0.71,0,0,0,1
1715590455956,1,1.66,0.71,0,0,0,1
1715590455959,1,1.66,0.71,0,0,0,1
1715590455964,1,1.66,0.71,0,0,0,1
1715590455967,1,1.66,0.71,0,0,0,1
1715590455971,1,1.66,0.71,0,0,0,1
1715590455975,1,1.66,0.71,0,0,0,1
1715590455979,1,1.66,0.71,0,0,0,1
1715590455984,1,1.66,0.71,0,0,0,1
1715590455988,1,1.66,0.71,0,0,0,1
1715590455992,1,1.66,0.71,0,0,0,1
1715590455996,1,1.66,0.71,0,0,0,1
1715590456001,1,1.66,0.71,0,0,0,1
1715590456005,1,1.66,0.71,0,0,0,1
1715590456009,1,1.66,0.71,0,0,0,1
1715590456014,1,1.66,0.71,0,0,0,1
1715590456020,1,1.66,0.71,0,0,0,1
1715590456027,1,1.66,0.71,0,0,0,1
1715590456032,1,1.66,0.71,0,0,0,1
1715590456036,1,1.66,0.71,0,0,0,1
1715590456041,1,1.66,0.71,0,0,0,1
1715590456044,1,1.66,0.71,0,0,0,1
1715590456049,1,1.66,0.71,0,0,0,1
1715590456053,1,1.66,0.71,0,0,0,1
1715590456058,1,1.66,0.71,0,0,0,1
1715590456063,1,1.66,0.71,0,0,0,1
1715590456067,1,1.66,0.71,0,0,0,1
1715590456071,1,1.66,0.71,0,0,0,1
1715590456083,1,1.66,0.71,0,0,0,1
1715590456087,1,1.66,0.71,0,0,0,1
1715590456091,1,1.66,0.71,0,0,0,1
1715590456095,1,1.66,0.71,0,0,0,1
1715590456100,1,1.66,0.71,0,0,0,1
1715590456105,1,1.66,0.71,0,0,0,1
1715590456109,1,1.66,0.71,0,0,0,1
1715590456113,1,1.66,0.71,0,0,0,1
1715590456117,1,1.66,0.71,0,0,0,1
1715590456121,1,1.66,0.71,0,0,0,1
1715590456126,1,1.66,0.71,0,0,0,1
1715590456130,1,1.66,0.71,0,0,0,1
1715590456134,1,1.66,0.71,0,0,0,1
1715590456138,1,1.66,0.71,0,0,0,1
1715590456143,1,1.66,0.71,0,0,0,1
1715590456147,1,1.66,0.71,0,0,0,1
1715590456151,1,1.66,0.71,0,0,0,1
1715590456156,1,1.66,0.71,0,0,0,1
1715590456161,1,1.66,0.71,0,0,0,1
1715590456167,1,1.66,0.71,0,0,0,1
1715590456170,1,1.66,0.71,0,0,0,1
1715590456174,1,1.66,0.71,0,0,0,1
1715590456178,1,1.66,0.71,0,0,0,1
1715590456183,1,1.66,0.71,0,0,0,1
1715590456187,1,1.66,0.71,0,0,0,1
1715590456193,1,1.66,0.71,0,0,0,1
1715590456197,1,1.66,0.71,0,0,0,1
1715590456201,1,1.66,0.71,0,0,0,1
1715590456205,1,1.66,0.71,0,0,0,1
1715590456209,1,1.66,0.71,0,0,0,1
1715590456214,1,1.66,0.71,0,0,0,1
1715590456221,1,1.66,0.71,0,0,0,1
1715590456224,1,1.66,0.71,0,0,0,1
1715590456236,1,1.66,0.71,0,0,0,1
1715590456241,1,1.66,0.71,0,0,0,1
1715590456245,1,1.66,0.71,0,0,0,1
1715590456249,1,1.66,0.71,0,0,0,1
1715590456253,1,1.66,0.71,0,0,0,1
1715590456257,1,1.66,0.71,0,0,0,1
1715590456264,1,1.66,0.71,0,0,0,1
1715590456268,1,1.66,0.71,0,0,0,1
1715590456272,1,1.66,0.71,0,0,0,1
1715590456277,1,1.66,0.71,0,0,0,1
1715590456282,1,1.66,0.71,0,0,0,1
1715590456287,1,1.66,0.71,0,0,0,1
1715590456291,1,1.66,0.71,0,0,0,1
1715590456296,1,1.66,0.71,0,0,0,1
1715590456301,1,1.66,0.71,0,0,0,1
