Timestamp,PosX,PosY,PosZ,QuaX,QuaY,QuaZ,QuaW
1715753279603,-0.09124454,-0.3200784,-0.1773006,0.01346031,0.5198601,0.8538593,0.0221076
1715753280860,-0.105917,-0.3183638,-0.1490171,-0.02125997,0.5229946,0.8502464,0.05573107
1715753280977,-0.08501094,-0.3249997,-0.1549656,-0.01603107,0.7106578,0.7026972,0.03041647
1715753281004,-0.08513011,-0.325,-0.1546449,-0.01546513,0.7108492,0.70255,0.02963365
1715753281073,-0.08516364,-0.3249996,-0.1545479,-0.01524745,0.7109306,0.702485,0.0293331
1715753281088,-0.08524609,-0.3249998,-0.1542759,-0.01464883,0.7110908,0.7023672,0.02856862
1715753281126,-0.08526364,-0.3249998,-0.15421,-0.01451649,0.7111214,0.7023455,0.02840217
1715753281163,-0.08531109,-0.3249998,-0.1540443,-0.01422633,0.7111982,0.7022896,0.02801106
1715753281197,-0.08536573,-0.3249995,-0.1538788,-0.01400981,0.7112347,0.70227,0.02767291
1715753281215,-0.08541892,-0.3249998,-0.1537147,-0.01384976,0.7112129,0.702306,0.02740795
1715753281231,-0.08544601,-0.3249998,-0.1536219,-0.01376861,0.7111819,0.7023436,0.0272844
1715753281247,-0.08546825,-0.3249996,-0.1535364,-0.01369882,0.7111486,0.7023826,0.0271824
1715753281266,-0.08548901,-0.3249996,-0.1534455,-0.01362987,0.7111056,0.7024311,0.02708834
1715753281283,-0.08550964,-0.3249998,-0.1533392,-0.01355963,0.7110516,0.7024913,0.02698519
1715753281299,-0.08552596,-0.3249998,-0.1532378,-0.01350321,0.7109913,0.7025567,0.02689008
1715753281314,-0.08553807,-0.3249998,-0.1531468,-0.01346488,0.7109307,0.7026223,0.02680681
1715753281330,-0.08554504,-0.325,-0.1530651,-0.01344568,0.7108672,0.7026897,0.02673474
1715753281347,-0.08554987,-0.3249997,-0.1529772,-0.01343643,0.7107935,0.702767,0.02666502
1715753281367,-0.08554726,-0.3249999,-0.1528946,-0.01345606,0.7107092,0.7028536,0.02661937
1715753281386,-0.08554038,-0.3249996,-0.1527997,-0.01350112,0.7106036,0.7029606,0.02659092
1715753281406,-0.08552767,-0.3249998,-0.1527115,-0.01357756,0.7104917,0.7030718,0.02660138
1715753281422,-0.08551148,-0.3249998,-0.1526286,-0.01367482,0.7103767,0.7031841,0.02664558
1715753281441,-0.08549697,-0.3249999,-0.152559,-0.01376209,0.7102795,0.7032793,0.02669188
1715753281462,-0.0854753,-0.3249997,-0.1524708,-0.01387342,0.7101588,0.7033965,0.02674892
1715753281483,-0.08545305,-0.3249996,-0.1523799,-0.01397805,0.7100409,0.7035114,0.02679636
1715753281503,-0.08542606,-0.3249998,-0.1522736,-0.01407591,0.709913,0.7036378,0.02682102
1715753281523,-0.08539347,-0.325,-0.1521686,-0.01416219,0.7097878,0.7037613,0.02685302
