Timestamp,LeftRoll,LeftFootHeight,RightRoll,RightFootHeight
1716032528417,16.20978,0.06978874,12.82535,0.05549498
1716032528464,16.20982,0.06978893,12.82533,0.05549491
1716032528477,16.20984,0.069789,12.82535,0.05549497
1716032528489,16.20986,0.06978907,12.82536,0.05549503
1716032528505,16.20986,0.06978908,12.82536,0.05549501
1716032528519,16.20986,0.06978908,12.82536,0.05549501
1716032528533,16.20986,0.06978908,12.82536,0.05549501
1716032528547,16.20986,0.06978908,12.82536,0.05549501
1716032528560,16.20986,0.0697891,12.82535,0.05549496
1716032528574,16.20989,0.0697892,12.82531,0.05549482
1716032528588,16.20994,0.06978943,12.82526,0.05549459
1716032528603,16.20995,0.06978947,12.82523,0.05549445
1716032528615,16.20996,0.06978951,12.82521,0.05549438
1716032528630,16.20996,0.06978951,12.82521,0.05549438
1716032528644,16.20996,0.06978951,12.82521,0.05549438
1716032528658,16.20996,0.06978951,12.82521,0.05549438
1716032528672,16.20998,0.06978958,12.8252,0.05549435
1716032528685,16.20998,0.0697896,12.82521,0.05549439
1716032528700,16.20999,0.06978962,12.82521,0.05549441
1716032528716,16.20999,0.06978964,12.82521,0.05549439
1716032528728,16.20999,0.06978964,12.82521,0.05549439
1716032528741,16.20999,0.06978964,12.82521,0.05549439
1716032528756,16.20999,0.06978964,12.82521,0.05549439
1716032528770,16.21004,0.06978983,12.82527,0.05549463
1716032528784,16.21004,0.06978983,12.82527,0.05549463
1716032528798,16.21007,0.06978998,12.82529,0.05549471
1716032528812,16.2101,0.06979009,12.82528,0.05549468
1716032528825,16.2101,0.06979009,12.82528,0.05549468
1716032528839,16.2101,0.06979009,12.82528,0.05549468
1716032528854,16.2101,0.06979009,12.82528,0.05549468
1716032528867,16.21011,0.06979012,12.82535,0.05549496
1716032528881,16.21011,0.06979015,12.82535,0.05549498
1716032528896,16.21012,0.06979016,12.82535,0.05549498
1716032528908,16.21011,0.06979015,12.82535,0.05549498
1716032528922,16.21011,0.06979015,12.82535,0.05549498
1716032528936,16.2101,0.06979009,12.82536,0.05549502
1716032528950,16.2101,0.06979009,12.82536,0.05549502
1716032528964,16.2101,0.06979009,12.82536,0.05549502
1716032528978,16.21007,0.06978998,12.82534,0.05549496
1716032528992,16.21005,0.06978989,12.82535,0.05549498
1716032529006,16.21004,0.06978983,12.82536,0.05549504
1716032529019,16.21003,0.06978978,12.82538,0.0554951
1716032529034,16.21,0.06978967,12.82539,0.05549514
1716032529048,16.21,0.06978967,12.82539,0.05549514
1716032529062,16.21,0.06978967,12.82539,0.05549514
1716032529076,16.20992,0.06978933,12.82537,0.05549508
1716032529089,16.20993,0.06978938,12.82536,0.05549503
1716032529103,16.20993,0.06978938,12.82537,0.05549507
1716032529118,16.20994,0.06978943,12.82538,0.05549512
