Timestamp,PosX,PosY,PosZ,QuaX,QuaY,QuaZ,QuaW
1716077047648,0.9587554,-0.2440784,-0.1083006,0.01346031,0.5198601,0.8538593,0.0221076
1716077048633,0.944083,-0.2423639,-0.08001757,-0.0212601,0.5229945,0.8502466,0.0557313
1716077048695,0.964989,-0.04900026,0.2890345,-0.0160312,0.7106581,0.702697,0.03041633
1716077048717,0.9649333,-0.04899991,0.2891855,-0.01581581,0.7106991,0.7026728,0.03013424
1716077048736,0.964913,-0.04899979,0.2892386,-0.01571257,0.7107424,0.7026373,0.02998757
1716077048747,0.964891,-0.04900074,0.2892959,-0.01559727,0.7107941,0.7025949,0.02981979
1716077048764,0.9648754,-0.04900026,0.2893394,-0.0155002,0.7108344,0.7025623,0.02968269
1716077048778,0.9648618,-0.04900002,0.2893772,-0.01541628,0.710869,0.702534,0.02956394
1716077048791,0.9648432,-0.04900002,0.2894314,-0.01529543,0.7109149,0.7024973,0.02939614
1716077048809,0.964825,-0.04899991,0.2894871,-0.01516838,0.7109562,0.7024652,0.02922726
1716077048820,0.9648088,-0.04900038,0.2895375,-0.01505671,0.7109919,0.7024376,0.02907813
1716077048834,0.9647858,-0.04900038,0.2896132,-0.01488582,0.7110339,0.7024076,0.02886486
1716077048862,0.964774,-0.04900026,0.2896519,-0.01480052,0.7110543,0.7023931,0.02875779
1716077048890,0.9647586,-0.04900038,0.2897073,-0.01468377,0.711082,0.7023732,0.02861154
1716077048920,0.9647251,-0.04900014,0.2898295,-0.01444235,0.7111396,0.7023324,0.02830463
1716077048951,0.9646902,-0.04900026,0.2899504,-0.01423426,0.7111956,0.7022913,0.0280214
1716077048981,0.9646463,-0.04899979,0.290084,-0.01405315,0.7112314,0.7022699,0.02774181
1716077049009,0.9645938,-0.04899979,0.2902426,-0.0138889,0.7112232,0.702292,0.02746912
1716077049036,0.9645542,-0.04900014,0.2903761,-0.01376986,0.7111824,0.7023432,0.02728572
1716077049063,0.964516,-0.04900026,0.2905324,-0.01364607,0.7111157,0.7024198,0.02710984
