Timestamp,PosX,PosY,PosZ,QuaX,QuaY,QuaZ,QuaW
1716077047647,1.141245,-0.2440784,-0.1083009,-0.01345999,0.51986,0.8538592,-0.02210842
1716077048633,1.14467,-0.2418495,-0.09013069,0.04432937,0.5190724,0.8522298,-0.04799147
1716077048694,1.134989,-0.04899979,0.2890274,0.05391836,0.7091534,0.7018278,-0.04040556
1716077048717,1.134933,-0.2489998,-0.08596088,0.05404605,0.7092468,0.7017085,-0.04066647
1716077048736,1.134913,-0.2489998,-0.08597851,0.0541375,0.7092991,0.7016398,-0.04081225
1716077048747,1.134891,-0.2490001,-0.08600236,0.05424587,0.7093581,0.7015621,-0.0409822
1716077048764,1.134875,-0.2489998,-0.08602448,0.05434084,0.7094009,0.7015031,-0.04112176
1716077048778,1.134862,-0.2490001,-0.08604425,0.0544247,0.7094374,0.7014527,-0.04124378
1716077048791,1.134843,-0.2489996,-0.08607307,0.05454731,0.7094851,0.7013847,-0.04141757
1716077048809,1.134824,-0.2490001,-0.08610356,0.05467758,0.7095262,0.7013223,-0.04159396
1716077048820,1.134807,-0.2490003,-0.08613019,0.05479413,0.7095621,0.7012678,-0.04175111
1716077048833,1.134784,-0.2490001,-0.08616972,0.05497318,0.7096022,0.7011995,-0.04197834
1716077048862,1.134772,-0.2489998,-0.08618909,0.05506384,0.709622,0.7011656,-0.04209327
1716077048890,1.134756,-0.2489998,-0.08621471,0.05518926,0.7096483,0.7011193,-0.04225122
1716077048920,1.134722,-0.2490004,-0.08626415,0.0554537,0.7097033,0.7010227,-0.04258612
1716077048951,1.134686,-0.249,-0.08630036,0.05568998,0.7097583,0.7009292,-0.04289898
1716077048981,1.134641,-0.2489998,-0.0863201,0.05590546,0.7097962,0.7008541,-0.04321568
1716077049009,1.134587,-0.2489998,-0.08631635,0.05611153,0.7097939,0.70082,-0.04353776
1716077049036,1.134546,-0.2489998,-0.08629687,0.05626424,0.7097581,0.7008302,-0.04376394
1716077049063,1.134506,-0.2489998,-0.0862592,0.0564259,0.7096961,0.700866,-0.04398798
1716077049091,1.134475,-0.2489998,-0.08620661,0.05656431,0.7096206,0.7009186,-0.04418467
1716077049119,1.134451,-0.2490001,-0.08614202,0.05668326,0.7095277,0.7009909,-0.04438179
1716077049146,1.134437,-0.2489998,-0.08606924,0.05675836,0.709425,0.7010773,-0.04455891
1716077049174,1.13444,-0.249,-0.0859706,0.05677084,0.7092987,0.7011958,-0.04469042
1716077049203,1.134455,-0.2490001,-0.0858546,0.05672244,0.7091689,0.7013277,-0.04474044
1716077049231,1.134478,-0.2490001,-0.08571427,0.05663101,0.7090277,0.7014785,-0.04473068
1716077049259,1.134506,-0.2490001,-0.0855643,0.05652542,0.7088883,0.7016304,-0.04469319
1716077049286,1.134538,-0.2490003,-0.08540682,0.05642629,0.7087489,0.7017808,-0.04466467
1716077049314,1.134575,-0.2490001,-0.08524172,0.05634759,0.7086047,0.7019327,-0.04466608
1716077049341,1.134629,-0.2490001,-0.08506158,0.05627983,0.7084447,0.7021016,-0.04463735
1716077049369,1.134701,-0.2489998,-0.08486918,0.05621264,0.7082721,0.7022871,-0.04453919
1716077049397,1.134789,-0.2489998,-0.08464509,0.05614076,0.708075,0.7025011,-0.04439081
1716077049425,1.134874,-0.2490001,-0.08443113,0.05607582,0.7079058,0.7026864,-0.04423972
1716077049453,1.134964,-0.2489998,-0.08419606,0.05600484,0.7077641,0.7028448,-0.04407781
1716077049481,1.135044,-0.249,-0.08396389,0.05592741,0.7076859,0.7029396,-0.04391757
1716077049508,1.135119,-0.2489998,-0.08375815,0.05585659,0.7076641,0.7029796,-0.04372375
1716077049536,1.135208,-0.2489998,-0.08356856,0.05582302,0.7076756,0.7029848,-0.04349336
1716077049564,1.135328,-0.2490001,-0.08336037,0.05583819,0.7077218,0.7029545,-0.0432141
1716077049593,1.135426,-0.2490001,-0.08321357,0.05587817,0.7077738,0.7029116,-0.04300684
1716077049621,1.135552,-0.2489997,-0.08304766,0.05594195,0.7078523,0.702842,-0.0427673
1716077049649,1.135683,-0.2489998,-0.08289063,0.05600861,0.7079508,0.7027509,-0.04254181
1716077049677,1.135832,-0.2489998,-0.08273026,0.05608499,0.7080953,0.7026125,-0.04233003
1716077049705,1.13598,-0.2490001,-0.0825821,0.05615452,0.7082599,0.7024524,-0.04213498
