Timestamp,PosX,PosY,PosZ,QuaX,QuaY,QuaZ,QuaW
1715659445363,-0.0913417,0.1049216,-0.02596109,0.01504781,0.5199003,0.8538328,0.02114103
1715659446030,-0.1059089,0.1066362,0.002376757,-0.01967913,0.5230973,0.8502845,0.05475861
1715659446101,-0.0850252,0.1,-0.003649601,-0.006580374,0.5190718,0.8540897,0.03243834
1715659446129,-0.08508693,0.1000001,-0.003480779,-0.006256983,0.5191347,0.854062,0.03222504
1715659446148,-0.08511737,0.1000001,-0.003400315,-0.006042384,0.5192215,0.8540166,0.03206965
1715659446169,-0.08513913,0.1000003,-0.003339815,-0.005868574,0.5192879,0.853982,0.03194633
1715659446188,-0.08516313,0.1,-0.003271342,-0.005669998,0.519362,0.8539435,0.0318082
1715659446214,-0.08518539,0.1,-0.003202614,-0.005459853,0.519424,0.8539122,0.03167279
1715659446257,-0.08521643,0.1000004,-0.003103109,-0.005157932,0.5195017,0.8538734,0.03148924
1715659446274,-0.0852666,0.1000004,-0.002925628,-0.004641876,0.5196107,0.853821,0.03119949
1715659446295,-0.08528648,0.1000004,-0.002852885,-0.004447289,0.5196516,0.8538008,0.03109157
1715659446316,-0.08531205,0.1000001,-0.002762934,-0.004228785,0.5197027,0.8537756,0.03096624
1715659446336,-0.08534133,0.1000001,-0.002668745,-0.004027751,0.5197412,0.8537571,0.03084598
1715659446360,-0.08537126,0.1000001,-0.00257451,-0.003849925,0.519768,0.8537459,0.03073658
1715659446379,-0.08540595,0.1000004,-0.002469504,-0.003686924,0.5197565,0.853757,0.03064033
1715659446402,-0.0854345,0.1000001,-0.002377049,-0.003553276,0.5197323,0.853775,0.03056878
1715659446426,-0.08546859,0.1000001,-0.002255289,-0.003390266,0.5196846,0.8538073,0.03048998
1715659446451,-0.0854983,0.1000001,-0.002123996,-0.003228257,0.5196093,0.853856,0.03042829
1715659446473,-0.08552492,0.1000001,-0.001975896,-0.003075656,0.519514,0.8539169,0.03036495
1715659446490,-0.08554401,0.1000004,-0.001844482,-0.002961648,0.5194148,0.8539793,0.03030979
1715659446507,-0.08555189,0.1,-0.001750807,-0.002912516,0.5193272,0.8540344,0.03027198
1715659446542,-0.08555669,0.0999999,-0.001659104,-0.002878745,0.5192341,0.8540921,0.03024028
1715659446562,-0.08554847,0.1000001,-0.001493145,-0.002906084,0.5190229,0.854221,0.0302242
1715659446587,-0.08553447,0.1000001,-0.001400577,-0.002981585,0.51888,0.8543064,0.03025603
1715659446610,-0.085514,0.0999999,-0.00129627,-0.003103146,0.5187065,0.854409,0.03032296
1715659446633,-0.08549039,0.1000001,-0.00119315,-0.003237457,0.5185334,0.854511,0.03039641
1715659446657,-0.08546529,0.1000001,-0.001092428,-0.003368233,0.5183712,0.8546064,0.03046007
1715659446679,-0.08543392,0.1000004,-0.0009710765,-0.003494975,0.5181918,0.8547134,0.03050083
1715659446706,-0.08539961,0.1000004,-0.0008575881,-0.003598443,0.5180276,0.8548113,0.03053675
1715659446723,-0.08534611,0.1000004,-0.0007126813,-0.003713965,0.5178193,0.8549349,0.03059272
1715659446748,-0.08529563,0.09999979,-0.0006098272,-0.003793742,0.5176587,0.855029,0.03067156
1715659446768,-0.08522005,0.1000004,-0.0004616915,-0.003903308,0.5174352,0.8551595,0.03078804
1715659446788,-0.08515531,0.1000001,-0.0003402403,-0.003990743,0.5172538,0.8552653,0.03088792
1715659446809,-0.08509015,0.1000006,-0.0002190738,-0.004089577,0.5171025,0.855353,0.03097967
1715659446831,-0.08502561,0.1000001,-9.67395E-05,-0.004197419,0.5169667,0.8554317,0.03106163
1715659446856,-0.08496605,0.1000001,2.040085E-05,-0.004323345,0.5168691,0.8554876,0.03113016
1715659446883,-0.08489767,0.1000001,0.0001397282,-0.004474261,0.5168076,0.8555204,0.03122302
1715659446914,-0.08481325,0.1000003,0.000253214,-0.004615237,0.5167794,0.8555328,0.03133621
