Timestamp,PosX,PosY,PosZ,QuaX,QuaY,QuaZ,QuaW
1715764067651,0.09114616,0.1049216,-0.02663993,-0.01187245,0.5198179,0.8538828,-0.02307492
1715764068324,0.0946393,0.1071504,-0.008482635,0.04591377,0.5189823,0.8521459,-0.04895646
1715764068394,0.08497394,0.1000001,-0.004288319,0.04410136,0.5176629,0.8527877,-0.0532319
1715764068429,0.08491421,0.1,-0.004278951,0.04432312,0.5177817,0.8526942,-0.05339068
1715764068442,0.08487768,0.1,-0.004315545,0.04455912,0.5178962,0.8526009,-0.05356913
1715764068465,0.08486252,0.09999967,-0.004335833,0.0446749,0.5179445,0.8525603,-0.05365513
1715764068487,0.0848345,0.09999979,-0.004376228,0.0449002,0.5180321,0.8524848,-0.05382088
1715764068503,0.08480705,0.09999967,-0.004420698,0.04515018,0.5181044,0.8524171,-0.05399266
1715764068522,0.08478841,0.0999999,-0.004451004,0.04532494,0.5181498,0.8523726,-0.05410989
1715764068538,0.08476385,0.1,-0.004491487,0.04556783,0.5181977,0.8523207,-0.05426334
1715764068556,0.08474373,0.1000004,-0.004523776,0.04577194,0.5182358,0.8522783,-0.05439109
1715764068575,0.08472382,0.09999979,-0.00455438,0.04597978,0.5182732,0.8522364,-0.05451968
1715764068594,0.08469985,0.0999999,-0.004585017,0.04620684,0.5183161,0.8521887,-0.05466339
1715764068612,0.08467568,0.1,-0.004609449,0.04641879,0.5183592,0.852142,-0.05480149
1715764068631,0.08464886,0.09999979,-0.004625505,0.04660498,0.518391,0.8521044,-0.05493122
1715764068648,0.08462088,0.0999999,-0.004635582,0.04678201,0.5184167,0.8520708,-0.05505873
1715764068668,0.08459241,0.0999999,-0.00463512,0.04692876,0.5184137,0.8520573,-0.05516808
1715764068675,0.08456223,0.1,-0.004628328,0.04708077,0.518403,0.8520483,-0.0552803
1715764068683,0.08455036,0.1000001,-0.004622987,0.04714204,0.5183882,0.8520514,-0.05532143
1715764068691,0.08453877,0.1,-0.004616809,0.04720281,0.5183732,0.8520544,-0.05536232
1715764068698,0.08452717,0.0999999,-0.004609567,0.0472629,0.5183583,0.8520573,-0.05540266
1715764068704,0.08451746,0.0999999,-0.004602374,0.04731381,0.5183457,0.85206,-0.05543673
1715764068711,0.08450857,0.1000001,-0.004594279,0.04736356,0.5183277,0.852066,-0.05546745
1715764068718,0.08449916,0.1000001,-0.004583947,0.04741888,0.5183052,0.8520747,-0.05550031
1715764068724,0.08448956,0.09999967,-0.004572419,0.04747551,0.5182823,0.8520833,-0.05553392
1715764068730,0.08448245,0.1000003,-0.004563003,0.04751816,0.5182652,0.8520897,-0.0555594
1715764068737,0.08447303,0.1000001,-0.004549763,0.04757387,0.5182424,0.8520985,-0.05559273
1715764068744,0.08446576,0.1,-0.004535284,0.04761973,0.5182168,0.8521091,-0.05562324
1715764068750,0.0844592,0.0999999,-0.004520191,0.04766288,0.51819,0.8521213,-0.05565351
1715764068761,0.08445195,0.1000001,-0.004503744,0.0477105,0.5181604,0.8521342,-0.05568689
1715764068767,0.08444351,0.1000003,-0.004484561,0.04776606,0.5181262,0.8521495,-0.05572604
1715764068773,0.08443724,0.1000001,-0.004467348,0.04780918,0.5180957,0.8521634,-0.05575883
1715764068780,0.08443423,0.1000001,-0.004450556,0.04783314,0.5180663,0.8521783,-0.05578559
1715764068787,0.08443104,0.1000001,-0.004433922,0.04785708,0.518037,0.8521929,-0.05581242
