Timestamp,PosX,PosY,PosZ,QuaX,QuaY,QuaZ,QuaW
1716003141094,0,1.7,0.148,0,0.001859229,0,0.9999983
1716003142093,-0.5270846,1.528468,-0.9978311,-0.2799841,-0.9048951,0.08726153,-0.3084792
1716003142169,-0.5271006,1.528379,-0.997895,-0.279718,-0.9049431,0.08709218,-0.3086274
1716003142195,-0.5270879,1.528402,-0.9978509,-0.2797019,-0.9049724,0.0870747,-0.308561
1716003142208,-0.5271046,1.528424,-0.9978424,-0.2798051,-0.9049731,0.08701893,-0.308481
1716003142222,-0.5271239,1.528421,-0.9978441,-0.2797933,-0.9049956,0.08710198,-0.3084024
1716003142236,-0.5271063,1.528406,-0.9978064,-0.279794,-0.9049965,0.08718816,-0.3083747
1716003142250,-0.5785757,1.688352,-0.6688047,-0.2772945,-0.9128056,0.09441771,-0.2845683
1716003142264,-0.578537,1.688292,-0.6687596,-0.2772604,-0.9128672,0.09419987,-0.2844763
1716003142279,-0.5785376,1.688246,-0.6687539,-0.2772332,-0.9128628,0.0939847,-0.2845882
1716003142293,-0.5785496,1.688186,-0.6687732,-0.2770857,-0.9129009,0.09375584,-0.2846849
1716003142308,-0.6127753,1.848135,-0.3376073,-0.2743736,-0.9201225,0.1007874,-0.2606449
1716003142322,-0.6127973,1.848127,-0.3375965,-0.2740967,-0.9202086,0.1006869,-0.260671
1716003142336,-0.6128156,1.848132,-0.3375859,-0.273931,-0.9202888,0.100583,-0.2606021
1716003142353,-0.6128429,1.84814,-0.3375834,-0.2737626,-0.9203211,0.1004595,-0.2607125
1716003142364,-0.6129042,1.84814,-0.3376118,-0.273625,-0.9203415,0.1002734,-0.2608563
1716003142378,-0.6129678,1.84816,-0.3376456,-0.273726,-0.9202921,0.1002565,-0.2609313
1716003142393,-0.6129891,1.848167,-0.3376525,-0.2737074,-0.9203014,0.1002086,-0.2609364
1716003142407,-0.6129884,1.848158,-0.3376514,-0.2736561,-0.9203238,0.1001641,-0.2609282
1716003142420,-0.6129547,1.84813,-0.3376383,-0.2736311,-0.9203931,0.1001751,-0.2607059
1716003142435,-0.6129422,1.848093,-0.3376451,-0.2736633,-0.9204209,0.1001567,-0.2605805
1716003142448,-0.6129534,1.848063,-0.3376943,-0.2736061,-0.9204449,0.1001787,-0.2605476
1716003142462,-0.6129649,1.848049,-0.3377377,-0.2735859,-0.9204378,0.1002602,-0.2605627
1716003142476,-0.6129708,1.848046,-0.3377334,-0.2735991,-0.9204246,0.1003211,-0.2605719
1716003142490,-0.6298195,2.00804,-0.005174935,-0.2708697,-0.9269315,0.1074059,-0.2364143
1716003142504,-0.6298382,2.008046,-0.005147874,-0.2708289,-0.9269404,0.1073581,-0.2364481
1716003142518,-0.6298727,2.008033,-0.005127192,-0.2707641,-0.9269658,0.1072277,-0.2364819
1716003142531,-0.6298851,2.008024,-0.005108476,-0.270731,-0.9269795,0.1071844,-0.2364856
1716003142545,-0.6299763,2.007987,-0.005094171,-0.2707172,-0.9269895,0.1069807,-0.2365546
1716003142559,-0.630001,2.007952,-0.005059719,-0.2707493,-0.9270033,0.1068408,-0.236527
1716003142573,-0.6294279,2.167917,0.327952,-0.2678534,-0.9329058,0.1137871,-0.2121179
1716003142586,-0.6294505,2.167904,0.3279849,-0.2677756,-0.9329629,0.1137508,-0.2119844
1716003142600,-0.6114507,2.327905,0.6604846,-0.2646564,-0.9382209,0.1206758,-0.1874456
1716003142614,-0.6114781,2.327919,0.6604606,-0.2644097,-0.938296,0.1205981,-0.1874685
1716003142628,-0.6115206,2.327914,0.6604382,-0.2642851,-0.9383352,0.1203934,-0.1875793
1716003142642,-0.6115534,2.327898,0.6604471,-0.2640845,-0.9383949,0.120165,-0.1877097
1716003142655,-0.6115872,2.327886,0.6604592,-0.2639552,-0.9383999,0.1200863,-0.1879167
1716003142670,-0.6116185,2.327872,0.6604713,-0.2640553,-0.9383424,0.1200161,-0.188108
1716003142683,-0.6116367,2.327867,0.6604661,-0.2641606,-0.9382951,0.1198955,-0.188273
1716003142697,-0.5762427,2.487859,0.9915656,-0.260859,-0.9429402,0.1266483,-0.1636364
1716003142740,-0.5762,2.487851,0.9915099,-0.2609147,-0.9429404,0.1267169,-0.1634936
1716003142753,-0.5761377,2.48786,0.9914517,-0.2609238,-0.9429396,0.1268194,-0.1634039
1716003142767,-0.5761047,2.487897,0.9914019,-0.2609222,-0.9429136,0.1270313,-0.1633913
1716003142780,-0.5760645,2.48796,0.9913501,-0.2609405,-0.9428197,0.1276685,-0.1634074
1716003142795,-0.5760437,2.487969,0.9912917,-0.260925,-0.9427795,0.1278275,-0.1635393
1716003142809,-0.57601,2.487986,0.9912416,-0.2609678,-0.9427274,0.1280478,-0.1635993
1716003142822,-0.5759601,2.487987,0.9912124,-0.2611112,-0.9426835,0.12812,-0.1635668
1716003142837,-0.5759376,2.488009,0.9912044,-0.261216,-0.9426316,0.1282019,-0.1636341
1716003142851,-0.5759279,2.488003,0.9912029,-0.2613268,-0.942624,0.1281918,-0.1635091
1716003142864,-0.5759346,2.487994,0.9912085,-0.2614748,-0.9425976,0.1281046,-0.1634934
1716003142878,-0.575897,2.487972,0.991218,-0.261522,-0.9426029,0.1280295,-0.1634459
1716003142893,-0.5758888,2.487949,0.9912238,-0.2614244,-0.9426428,0.1279386,-0.163443
1716003142906,-0.5232203,2.647936,1.320016,-0.25784,-0.946651,0.1347105,-0.1386492
1716003142920,-0.5232236,2.647939,1.320026,-0.2576949,-0.9467263,0.1346048,-0.1385073
1716003142934,-0.5232521,2.647942,1.320042,-0.2576327,-0.9467729,0.1343902,-0.1385137
1716003142948,-0.5232615,2.647935,1.320055,-0.2575714,-0.9468251,0.1341852,-0.1384692
1716003142962,-0.5232582,2.647897,1.320068,-0.2576284,-0.9468453,0.1339635,-0.1384404
