Timestamp,PosX,PosY,PosZ,QuaX,QuaY,QuaZ,QuaW
1716030454113,-0.0913417,0.1049216,-0.02596109,0.01504781,0.5199003,0.8538328,0.02114103
1716030455575,-0.1059088,0.106636,0.002376282,-0.01967926,0.5230972,0.8502846,0.05475884
1716030455674,-0.08502509,0.0999999,-0.00364948,-0.006580486,0.5190719,0.8540897,0.03243828
1716030455690,-0.08511844,0.1,-0.003396734,-0.006033085,0.5192249,0.8540149,0.03206252
1716030455699,-0.08513813,0.0999999,-0.003341823,-0.005875371,0.5192853,0.8539835,0.0319506
1716030455707,-0.08514916,0.1000004,-0.003310625,-0.005784059,0.5193196,0.8539656,0.03188664
1716030455715,-0.08515785,0.0999999,-0.00328561,-0.005712083,0.5193463,0.8539516,0.03183668
1716030455724,-0.08516716,0.0999999,-0.003258569,-0.005631243,0.5193734,0.8539377,0.03178238
1716030455732,-0.08517766,0.0999999,-0.003225459,-0.005529094,0.5194036,0.8539226,0.03171655
1716030455740,-0.08518747,0.0999999,-0.003195991,-0.005439982,0.5194296,0.8539094,0.03165956
1716030455749,-0.08519753,0.0999999,-0.003164639,-0.005346081,0.519457,0.8538955,0.03159986
1716030455757,-0.08520766,0.0999999,-0.003131899,-0.005246783,0.5194823,0.8538831,0.03153995
1716030455765,-0.08521709,0.1,-0.003099697,-0.005148623,0.5195036,0.8538728,0.03148318
1716030455773,-0.08522712,0.09999967,-0.003066954,-0.005049904,0.5195249,0.8538625,0.03142667
1716030455782,-0.08523747,0.1,-0.00303171,-0.004945195,0.5195472,0.8538517,0.03136714
1716030455789,-0.08524652,0.1000001,-0.002998809,-0.004849595,0.5195674,0.8538417,0.03131356
1716030455801,-0.08525573,0.1,-0.00296567,-0.004754718,0.5195872,0.8538322,0.03126101
1716030455810,-0.08526894,0.1,-0.002917121,-0.004619007,0.5196151,0.8538188,0.03118626
1716030455818,-0.0852782,0.0999999,-0.002881422,-0.004521366,0.5196349,0.8538092,0.03113297
1716030455827,-0.08528821,0.0999999,-0.002846312,-0.004431294,0.5196553,0.8537994,0.03108157
1716030455836,-0.08529937,0.0999999,-0.00280761,-0.004335675,0.5196778,0.8537879,0.03102661
1716030455845,-0.08531067,0.0999999,-0.00276676,-0.004237923,0.5197004,0.8537768,0.03097055
1716030455853,-0.08532239,0.0999999,-0.00272506,-0.004141252,0.5197221,0.8537658,0.03091521
1716030455861,-0.0853348,0.09999979,-0.002688481,-0.004066947,0.5197343,0.8537604,0.03086917
1716030455869,-0.08534554,0.0999999,-0.002655601,-0.004002114,0.5197451,0.8537558,0.03082927
1716030455876,-0.08535682,0.0999999,-0.002620462,-0.003934776,0.519756,0.853751,0.03078778
1716030455884,-0.08536796,0.1,-0.002584768,-0.003868192,0.5197662,0.8537464,0.03074683
1716030455891,-0.08537928,0.1,-0.00255115,-0.003812496,0.519765,0.8537485,0.03071373
1716030455903,-0.08538955,0.1,-0.002520337,-0.003763959,0.5197618,0.8537518,0.030685
1716030455910,-0.08540773,0.09999967,-0.002465002,-0.003680175,0.5197556,0.8537576,0.03063549
1716030455918,-0.0854193,0.1,-0.002427272,-0.0036251,0.5197516,0.8537616,0.03060292
1716030455926,-0.08543088,0.0999999,-0.00238921,-0.003570681,0.519737,0.8537717,0.03057637
1716030455933,-0.08544191,0.1000001,-0.002350285,-0.003516484,0.5197212,0.8537825,0.03055026
1716030455941,-0.08545347,0.1000004,-0.002309486,-0.003460879,0.5197051,0.8537935,0.03052334
1716030455948,-0.08546416,0.0999999,-0.002271528,-0.003411234,0.5196905,0.8538035,0.03049934
1716030455955,-0.08547409,0.1000001,-0.002232363,-0.003360963,0.5196711,0.8538162,0.03047776
1716030455962,-0.08548243,0.1000001,-0.002194763,-0.003313655,0.5196491,0.8538303,0.03046014
1716030455971,-0.08549193,0.09999979,-0.002151664,-0.003261296,0.5196246,0.8538463,0.03043999
1716030455979,-0.08550233,0.0999999,-0.002103984,-0.003204954,0.5195981,0.8538634,0.03041841
1716030455986,-0.08551197,0.09999979,-0.002055892,-0.0031507,0.5195708,0.8538809,0.03039725
1716030455995,-0.08551882,0.09999979,-0.00201297,-0.003110509,0.5195401,0.8539004,0.03037964
1716030456002,-0.085527,0.0999999,-0.001962139,-0.003062851,0.519504,0.8539232,0.03035842
1716030456011,-0.0855341,0.0999999,-0.001917044,-0.003020484,0.5194715,0.8539439,0.0303393
1716030456020,-0.08554208,0.09999967,-0.001867213,-0.002973451,0.5194361,0.8539664,0.03031791
1716030456027,-0.08554581,0.09999967,-0.001819765,-0.002948565,0.5193914,0.8539941,0.03029927
