Timestamp,PosX,PosY,PosZ,QuaX,QuaY,QuaZ,QuaW
1716030632991,0.09114616,0.1049216,-0.02663993,-0.01187245,0.5198179,0.8538828,-0.02307492
1716030634107,0.0946393,0.1071504,-0.008482635,0.04591377,0.5189823,0.8521459,-0.04895646
1716030634167,0.08497371,0.2600002,0.2957113,0.0388948,0.4320977,0.8991854,-0.05696307
1716030634184,0.08492035,0.0999999,-0.004275383,0.03910921,0.4322041,0.8991194,-0.05705177
1716030634193,0.08490621,0.0999999,-0.004222783,0.03887132,0.43228,0.8991002,-0.05693977
1716030634202,0.08489827,0.1000001,-0.004203186,0.0387838,0.4323214,0.8990864,-0.05690173
1716030634209,0.08488967,0.1,-0.004196347,0.0387613,0.4323589,0.89907,-0.05689468
1716030634217,0.08488215,0.0999999,-0.004188051,0.03872997,0.4323926,0.8990557,-0.05688263
1716030634225,0.08487421,0.0999999,-0.004184229,0.03872088,0.4324274,0.8990397,-0.05688224
1716030634234,0.08486586,0.1,-0.004179701,0.03870569,0.4324641,0.8990226,-0.05687914
1716030634242,0.08485584,0.1,-0.004176208,0.03869949,0.432507,0.8990021,-0.05688104
1716030634249,0.08484762,0.09999979,-0.004166307,0.03865774,0.4325456,0.8989866,-0.05686468
1716030634256,0.08483955,0.1000001,-0.004160845,0.03863956,0.4325792,0.8989715,-0.05685817
1716030634263,0.08483231,0.1000001,-0.004153771,0.03861025,0.4326088,0.8989594,-0.05684527
1716030634271,0.08482543,0.0999999,-0.004148245,0.0385921,0.4326372,0.898947,-0.05683757
1716030634279,0.08481605,0.1000001,-0.004145814,0.03859282,0.4326705,0.8989307,-0.05683911
1716030634286,0.08480812,0.1,-0.004137559,0.03856291,0.4327028,0.8989173,-0.05682521
1716030634295,0.08479965,0.09999979,-0.004131547,0.03854809,0.4327298,0.8989057,-0.05681524
1716030634303,0.08479054,0.0999999,-0.004125964,0.03853786,0.4327585,0.8988928,-0.05680686
1716030634310,0.08478241,0.1000004,-0.0041163,0.03850748,0.4327862,0.8988821,-0.05678893
1716030634319,0.08477452,0.1000001,-0.004107798,0.03848351,0.4328126,0.8988712,-0.05677395
1716030634326,0.08476545,0.0999999,-0.004101716,0.03847916,0.4328404,0.8988585,-0.0567673
1716030634333,0.08475755,0.0999999,-0.004090519,0.03844615,0.4328673,0.8988481,-0.05674709
1716030634341,0.08475053,0.09999967,-0.004079713,0.0384155,0.4328912,0.8988392,-0.05672817
1716030634347,0.08474296,0.0999999,-0.004071077,0.0384005,0.4329149,0.8988292,-0.05671663
1716030634360,0.08473574,0.1000001,-0.004060303,0.03837321,0.4329383,0.8988198,-0.05670021
1716030634367,0.08472152,0.0999999,-0.004056662,0.03840917,0.432974,0.8988003,-0.05671465
1716030634378,0.08471273,0.1000001,-0.004033933,0.0383323,0.4330048,0.8987914,-0.05667574
1716030634386,0.08469985,0.1000001,-0.004023791,0.03834228,0.4330384,0.8987745,-0.05667753
1716030634393,0.08468957,0.1,-0.003999393,0.03826136,0.4330611,0.8987694,-0.05664099
1716030634402,0.0846789,0.1,-0.003984583,0.03823582,0.4330796,0.8987622,-0.05663099
1716030634410,0.08466802,0.09999979,-0.003969299,0.03821311,0.4330981,0.8987546,-0.05662234
1716030634416,0.08465729,0.1000001,-0.003952674,0.0381857,0.4331159,0.8987479,-0.05661133
1716030634424,0.08464741,0.0999999,-0.003934108,0.03814503,0.4331234,0.8987471,-0.05659403
1716030634430,0.08463785,0.1,-0.003917593,0.03811909,0.4331264,0.8987476,-0.05658386
1716030634438,0.08462787,0.1000001,-0.003901379,0.03809738,0.4331287,0.8987479,-0.05657567
1716030634445,0.08461634,0.09999967,-0.003884354,0.03808494,0.4331303,0.8987478,-0.05657233
1716030634452,0.08460553,0.0999999,-0.00386426,0.03805989,0.4331322,0.8987486,-0.05656278
1716030634460,0.08459548,0.1000003,-0.003843115,0.03803274,0.4331234,0.8987547,-0.05654819
1716030634466,0.0845855,0.0999999,-0.003822682,0.03801196,0.4331142,0.8987609,-0.05653671
1716030634473,0.08457578,0.09999979,-0.003801529,0.03799243,0.4331051,0.8987668,-0.05652595
1716030634481,0.084566,0.0999999,-0.0037797,0.03797339,0.4330958,0.8987727,-0.05651554
1716030634488,0.08455555,0.09999967,-0.003756162,0.03795928,0.4330821,0.8987806,-0.05650606
1716030634496,0.08454592,0.1000001,-0.003729407,0.03794264,0.433061,0.8987921,-0.05649225
1716030634503,0.08453735,0.1,-0.00370233,0.03791744,0.433043,0.898803,-0.05647503
1716030634511,0.08452837,0.0999999,-0.003675688,0.03790261,0.4330236,0.8988137,-0.05646287
1716030634519,0.08451871,0.0999999,-0.003646274,0.03789118,0.4330025,0.8988251,-0.05645207
1716030634527,0.08451106,0.0999999,-0.003612792,0.03786556,0.4329744,0.8988404,-0.05643882
1716030634534,0.08450365,0.1000003,-0.003579473,0.03784381,0.432945,0.8988564,-0.05642816
1716030634542,0.0844965,0.1000001,-0.003547448,0.03782015,0.4329171,0.8988714,-0.0564168
1716030634550,0.08448993,0.09999979,-0.003517296,0.03779596,0.4328916,0.8988855,-0.05640537
1716030634556,0.08448504,0.0999999,-0.003484866,0.03776979,0.432859,0.8989026,-0.05639884
1716030634565,0.08448207,0.1000001,-0.003454531,0.03773402,0.4328299,0.8989187,-0.05639033
1716030634572,0.0844783,0.1000003,-0.003423546,0.03771885,0.4327931,0.8989367,-0.05639344
1716030634583,0.0844749,0.0999999,-0.003391389,0.03769339,0.4327585,0.8989546,-0.05639166
1716030634589,0.08447237,0.1,-0.003349468,0.03766781,0.4327075,0.8989802,-0.05639528
1716030634597,0.0844738,0.0999999,-0.003312133,0.03761249,0.4326688,0.8990018,-0.05638209
1716030634605,0.08447486,0.1000001,-0.003281677,0.03758902,0.43263,0.8990214,-0.05638392
1716030634613,0.08447578,0.1,-0.003247833,0.03756829,0.4325854,0.8990433,-0.05638913
1716030634621,0.08447769,0.0999999,-0.003211886,0.03753839,0.432541,0.8990661,-0.0563895
1716030634627,0.08448226,0.0999999,-0.00317627,0.03749353,0.4324991,0.8990888,-0.05637828
1716030634635,0.08448664,0.1000004,-0.003143811,0.03747436,0.432454,0.8991111,-0.05638013
1716030634643,0.08449126,0.0999999,-0.00311067,0.03745521,0.432408,0.899134,-0.05638233
1716030634651,0.08449584,0.1000004,-0.003076012,0.03743595,0.4323607,0.8991572,-0.0563851
1716030634658,0.08450254,0.1000001,-0.003033863,0.03740157,0.4323066,0.8991851,-0.05637793
1716030634666,0.08450871,0.0999999,-0.002999552,0.03738424,0.4322591,0.8992091,-0.0563763
1716030634673,0.08451524,0.1000001,-0.002963166,0.03736826,0.4322085,0.8992339,-0.05637606
1716030634681,0.08452175,0.0999999,-0.002926128,0.03735387,0.4321578,0.8992588,-0.05637705
1716030634689,0.08452836,0.0999999,-0.002890954,0.03734022,0.43211,0.8992823,-0.0563787
1716030634696,0.08453695,0.09999979,-0.002848991,0.03731988,0.432056,0.899309,-0.05637938
1716030634704,0.08454487,0.1,-0.002811409,0.03730858,0.4320057,0.8993333,-0.05638382
1716030634711,0.08455259,0.1,-0.002774518,0.03729749,0.431958,0.8993563,-0.05638837
1716030634718,0.08455998,0.0999999,-0.00273664,0.03728541,0.4319099,0.8993798,-0.05639291
1716030634726,0.08456841,0.0999999,-0.002701055,0.0372792,0.4318627,0.899402,-0.05640358
1716030634734,0.08457828,0.0999999,-0.002657261,0.0372629,0.4318087,0.899428,-0.05641221
1716030634742,0.08458823,0.0999999,-0.002611477,0.03724799,0.4317524,0.899455,-0.05642262
1716030634750,0.08459795,0.0999999,-0.002567443,0.03723611,0.4316996,0.8994802,-0.05643405
1716030634757,0.0846113,0.1000001,-0.002520942,0.03722473,0.4316418,0.8995079,-0.05644024
1716030634764,0.08462374,0.1000001,-0.002481485,0.0372212,0.4315911,0.899532,-0.05644612
1716030634771,0.08463629,0.0999999,-0.002441629,0.03721636,0.4315413,0.8995556,-0.05645146
