Timestamp,PosX,PosY,PosZ,QuaX,QuaY,QuaZ,QuaW
1715909600233,0,1.7,0.148,0,0.001859229,0,0.9999983
1715909600971,-1.139721,2.489903,0.3324453,0.1351376,-0.9534675,-0.0007715421,-0.2695124
1715909601018,-1.127864,2.494245,0.3381136,0.1373592,-0.945462,0.001491166,-0.2953506
1715909601031,-1.11472,2.495591,0.3429978,0.1329875,-0.940312,0.007943307,-0.3131528
1715909601044,-1.110885,2.495238,0.3439635,0.1306856,-0.9395225,0.01071707,-0.3163925
1715909601059,-1.106796,2.494687,0.3451813,0.1279818,-0.9386465,0.01352895,-0.3199696
1715909601073,-1.102776,2.492803,0.3456516,0.12003,-0.9389274,0.01595175,-0.3221086
1715909601087,-1.098016,2.493636,0.3476747,0.1135015,-0.9389908,0.01857745,-0.3241432
1715909601101,-1.092871,2.493392,0.3487911,0.1091071,-0.9385838,0.02180831,-0.3266203
1715909601108,-1.087904,2.492639,0.3496907,0.1040567,-0.9380588,0.02348798,-0.3296459
1715909601122,-1.087298,2.492237,0.3494689,0.1041999,-0.9384862,0.02079436,-0.3285635
1715909601129,-1.082175,2.491628,0.3504517,0.0997425,-0.9381317,0.02207172,-0.3308674
1715909601142,-1.076713,2.490722,0.3513009,0.09587786,-0.9379438,0.02183494,-0.3325545
1715909601157,-1.070712,2.489748,0.3522688,0.09307675,-0.9377754,0.0215363,-0.3338418
1715909601170,-1.064764,2.488433,0.3532166,0.08968271,-0.9374019,0.02162852,-0.3358081
1715909601184,-1.058268,2.486798,0.3540823,0.0855957,-0.9370586,0.0226019,-0.3377632
1715909601198,-1.051701,2.485124,0.3547276,0.08141998,-0.9367309,0.02419909,-0.339589
1715909601211,-1.044834,2.483261,0.3553658,0.07755052,-0.9364049,0.02610428,-0.3412485
1715909601225,-1.037262,2.481339,0.355917,0.0739468,-0.936293,0.02917201,-0.3421059
1715909601239,-1.030535,2.479643,0.3566097,0.07010542,-0.9359463,0.03075554,-0.3437208
1715909601253,-1.023461,2.477735,0.3572903,0.06627724,-0.9356762,0.03229716,-0.3450719
1715909601267,-1.014317,2.474784,0.3578265,0.06181672,-0.9361302,0.03688829,-0.3442069
1715909601284,-1.006943,2.472741,0.3584744,0.05785279,-0.9358858,0.03900369,-0.3453255
1715909601353,-0.990436,2.467968,0.3597803,0.04933011,-0.9357464,0.0443937,-0.3463737
1715909601367,-0.944372,2.454967,0.3636511,0.02505186,-0.9339166,0.05798593,-0.3518663
1715909601395,-0.9290238,2.450634,0.3649409,0.01695707,-0.9331394,0.0625049,-0.3536335
1715909601418,-0.9046073,2.4434,0.3672487,0.0019838,-0.9314746,0.07703336,-0.355552
1715909601448,-0.8548082,2.439524,0.3700696,0.01290982,-0.9311761,0.06765079,-0.3580054
1715909601475,-0.8317958,2.4359,0.3721949,0.006995412,-0.9302982,0.07015275,-0.3599653
1715909601503,-0.8310314,2.435904,0.3743669,0.01194108,-0.9280284,0.0651243,-0.3665782
1715909601531,-0.8079937,2.434088,0.3773981,0.01039185,-0.9242732,0.06430747,-0.3761326
1715909601558,-0.7858062,2.432989,0.3802184,0.00295349,-0.9199703,0.0708916,-0.3855132
1715909601584,-0.7637935,2.432646,0.3838755,-0.004338209,-0.9158428,0.07900219,-0.3936649
1715909601611,-0.7467947,2.43803,0.3812228,0.01177681,-0.914411,0.09581894,-0.3931063
1715909601638,-0.7259635,2.441594,0.3817155,0.01896958,-0.9160236,0.0927029,-0.3898042
1715909601667,-0.705159,2.445587,0.3794087,0.02289386,-0.9130629,0.08807504,-0.3975359
1715909601695,-0.6857881,2.448355,0.3776256,0.02621107,-0.913628,0.07844499,-0.3980495
1715909601722,-0.6661689,2.450246,0.376183,0.0271046,-0.9133797,0.08035414,-0.3981786
1715909601750,-0.6476448,2.451619,0.3766069,0.02606353,-0.9128264,0.09047116,-0.3973458
1715909601777,-0.6241522,2.451438,0.367723,0.01887083,-0.91327,0.08514031,-0.3979108
1715909601806,-0.6079078,2.452159,0.3673405,0.03553149,-0.9142568,0.07294621,-0.3969268
1715909601835,-0.5900134,2.451325,0.3618947,0.03123461,-0.9145931,0.0636465,-0.398112
1715909601862,-0.5719413,2.450249,0.3566099,0.02797443,-0.9151243,0.05636537,-0.3982311
1715909601891,-0.5524805,2.447839,0.351131,0.02593883,-0.915488,0.05533468,-0.3976772
1715909601918,-0.5349309,2.445915,0.3446304,0.02214292,-0.9158768,0.05514044,-0.3970378
