Timestamp,PosX,PosY,PosZ,QuaX,QuaY,QuaZ,QuaW
1715916188270,-0.0913417,0.1049216,-0.02596109,0.01504781,0.5199003,0.8538328,0.02114103
1715916189712,-0.1059089,0.1066362,0.002376757,-0.01967913,0.5230973,0.8502845,0.05475861
1715916189823,-0.0850252,0.1,-0.003649601,-0.006580374,0.5190718,0.8540897,0.03243834
1715916189871,-0.08513573,0.1000003,-0.003349452,-0.005897515,0.5192773,0.8539873,0.03196678
1715916189887,-0.08519489,0.1000004,-0.003173148,-0.005370707,0.5194498,0.8538991,0.0316161
1715916189922,-0.08521349,0.1000001,-0.003112377,-0.005186621,0.5194955,0.8538765,0.03150569
1715916189957,-0.08525426,0.1000004,-0.002971221,-0.004770229,0.5195841,0.8538337,0.03127009
1715916189992,-0.08529615,0.1,-0.002818872,-0.004363411,0.5196713,0.853791,0.03104332
1715916190025,-0.08534133,0.1000003,-0.002668841,-0.004028019,0.5197409,0.8537574,0.03084604
1715916190057,-0.08538989,0.1000001,-0.002520267,-0.003763936,0.5197624,0.8537516,0.03068574
1715916190072,-0.08543836,0.0999999,-0.002363611,-0.003534643,0.519727,0.8537785,0.03055983
1715916190103,-0.08546059,0.1000003,-0.002284372,-0.00342781,0.5196958,0.8537999,0.03050823
1715916190126,-0.08550018,0.0999999,-0.002114841,-0.003217329,0.5196041,0.8538592,0.03042406
1715916190145,-0.08552454,0.1000001,-0.001978245,-0.003077849,0.5195155,0.8539159,0.03036594
1715916190163,-0.08554251,0.1000001,-0.001861451,-0.002970431,0.5194308,0.8539696,0.03031632
1715916190182,-0.08555082,0.1000003,-0.001762368,-0.002918569,0.519338,0.8540276,0.03027682
1715916190202,-0.08555649,0.1000001,-0.001656811,-0.002878818,0.5192314,0.854094,0.03023986
1715916190226,-0.08555306,0.1,-0.001557299,-0.002884233,0.5191094,0.8541687,0.03022291
1715916190254,-0.08554172,0.1000001,-0.001449897,-0.002941772,0.518956,0.8542611,0.03023987
1715916190265,-0.08552071,0.1000003,-0.001327885,-0.003061537,0.5187607,0.8543769,0.03029849
1715916190289,-0.08551043,0.1000004,-0.001280098,-0.0031241,0.5186788,0.8544253,0.03033497
1715916190305,-0.08548619,0.1000004,-0.00117712,-0.003259069,0.5185067,0.8545266,0.03040742
1715916190326,-0.08546784,0.1000001,-0.001103383,-0.003354511,0.5183885,0.8545962,0.03045363
1715916190345,-0.08544279,0.1000001,-0.001005914,-0.003460572,0.5182419,0.8546835,0.03049135
1715916190363,-0.0854174,0.1000003,-0.0009056177,-0.003556843,0.5180996,0.8547685,0.03051684
1715916190379,-0.08538204,0.1000004,-0.0008080725,-0.003638953,0.5179564,0.8548535,0.03055502
1715916190395,-0.08534936,0.1000004,-0.0007183878,-0.003709162,0.5178289,0.8549293,0.03058783
1715916190410,-0.08530363,0.1000004,-0.0006267389,-0.003781145,0.5176844,0.855014,0.03065928
1715916190426,-0.08526247,0.1,-0.0005398907,-0.003843557,0.5175548,0.85509,0.03071862
1715916190459,-0.0852095,0.1000001,-0.0004415151,-0.003918205,0.517405,0.855177,0.03080542
1715916190472,-0.08510712,0.1000001,-0.0002499784,-0.004064424,0.517141,0.8553308,0.03095704
1715916190507,-0.08506099,0.1000001,-0.00016515,-0.004132736,0.5170358,0.8553916,0.03101716
1715916190529,-0.084963,0.1000004,2.58279E-05,-0.004329267,0.5168644,0.8554902,0.03113317
1715916190548,-0.08490462,0.0999999,0.0001285595,-0.004458918,0.5168122,0.855518,0.03121357
1715916190570,-0.08484901,0.1000004,0.0002109772,-0.004570059,0.5167813,0.8555335,0.03128673
1715916190584,-0.08477278,0.1000001,0.000299697,-0.004664137,0.5167772,0.8555317,0.03138754
1715916190600,-0.08472113,0.0999999,0.0003545994,-0.004707526,0.5167862,0.8555239,0.03144578
1715916190619,-0.08465832,0.1000004,0.0004160993,-0.004738094,0.5168097,0.8555074,0.03150758
1715916190638,-0.08458011,0.1000003,0.0004853201,-0.004764959,0.5168499,0.8554805,0.03157193
1715916190658,-0.08449791,0.1000001,0.0005513898,-0.004781431,0.5169036,0.8554459,0.03162991
1715916190668,-0.08440576,0.1000001,0.0006153386,-0.004802949,0.5169751,0.8554003,0.03168265
1715916190685,-0.08435015,0.0999999,0.0006506096,-0.00481519,0.5170207,0.8553718,0.0317092
1715916190701,-0.08427513,0.1000001,0.0006945222,-0.004833293,0.5170915,0.8553281,0.03173551
1715916190718,-0.08419003,0.1000003,0.0007391542,-0.004855203,0.5171819,0.8552727,0.0317532
1715916190734,-0.08410286,0.1000001,0.0007794718,-0.004880699,0.5172817,0.8552117,0.03176529
1715916190754,-0.08401902,0.1000001,0.0008132041,-0.004910097,0.5173861,0.855148,0.03177211
1715916190776,-0.0839093,0.1000003,0.0008495583,-0.004956498,0.5175228,0.855065,0.03178113
1715916190797,-0.08378984,0.1000003,0.0008801271,-0.005014171,0.5176703,0.8549749,0.03178983
1715916190820,-0.08367169,0.1000003,0.0008985137,-0.005087032,0.5177982,0.8548964,0.03181343
1715916190846,-0.08353774,0.1000003,0.0009087201,-0.005172081,0.5179253,0.8548175,0.0318484
1715916190889,-0.08338519,0.1000004,0.0009058504,-0.005276062,0.5180454,0.8547416,0.03190629
1715916190905,-0.08311284,0.0999999,0.0008594159,-0.005508916,0.5182118,0.8546324,0.03208521
1715916190937,-0.08300844,0.1000001,0.0008307444,-0.005608249,0.5182649,0.8545967,0.03216633
1715916190962,-0.08279529,0.1000004,0.0007542244,-0.005824839,0.5183444,0.85454,0.03235218
1715916190981,-0.08264051,0.1,0.000683683,-0.005985359,0.5183649,0.8545212,0.03249345
1715916190998,-0.08252535,0.1000001,0.0006235831,-0.006102796,0.518361,0.8545188,0.03259553
1715916191016,-0.08242096,0.1000001,0.0005659345,-0.006210596,0.5183269,0.8545353,0.03268667
1715916191033,-0.08230956,0.1000001,0.0005049994,-0.006322979,0.5182738,0.8545631,0.03277818
1715916191052,-0.08220521,0.1000004,0.0004480532,-0.006429811,0.5181957,0.8546064,0.03286147
1715916191082,-0.08208276,0.1,0.0003818143,-0.006553325,0.5180848,0.8546692,0.03295558
