PosX,PosY,PosZ,QuaX,QuaY,QuaZ,QuaW
1715252888657,1,1.602,0.912,0,0,0,1
1715252889439,1,1.602,0.912,0,0,0,1
1715252889511,1,1.602,0.912,0,0,0,1
1715252889530,1,1.602,0.912,0,0,0,1
1715252889549,1,1.602,0.912,0,0,0,1
1715252889563,1,1.602,0.912,0,0,0,1
1715252889581,1,1.602,0.912,0,0,0,1
1715252889595,1,1.602,0.912,0,0,0,1
1715252889609,1,1.602,0.912,0,0,0,1
1715252889632,1,1.602,0.912,0,0,0,1
1715252889646,1,1.602,0.912,0,0,0,1
1715252889661,1,1.602,0.912,0,0,0,1
1715252889674,1,1.602,0.912,0,0,0,1
1715252889690,1,1.602,0.912,0,0,0,1
1715252889706,1,1.602,0.912,0,0,0,1
1715252889719,1,1.602,0.912,0,0,0,1
1715252889733,1,1.602,0.912,0,0,0,1
1715252889748,1,1.602,0.912,0,0,0,1
1715252889761,1,1.602,0.912,0,0,0,1
1715252889773,1,1.602,0.912,0,0,0,1
1715252889786,1,1.602,0.912,0,0,0,1
1715252889800,1,1.602,0.912,0,0,0,1
1715252889816,1,1.602,0.912,0,0,0,1
1715252889832,1,1.602,0.912,0,0,0,1
1715252889848,1,1.602,0.912,0,0,0,1
1715252889860,1,1.602,0.912,0,0,0,1
1715252889873,1,1.602,0.912,0,0,0,1
1715252889888,1,1.602,0.912,0,0,0,1
1715252889903,1,1.602,0.912,0,0,0,1
1715252889917,1,1.602,0.912,0,0,0,1
1715252889932,1,1.602,0.912,0,0,0,1
1715252889946,1,1.602,0.912,0,0,0,1
1715252889964,1,1.602,0.912,0,0,0,1
1715252889977,1,1.602,0.912,0,0,0,1
1715252889991,1,1.602,0.912,0,0,0,1
1715252890003,1,1.602,0.912,0,0,0,1
1715252890018,1,1.602,0.912,0,0,0,1
1715252890034,1,1.602,0.912,0,0,0,1
1715252890047,1,1.602,0.912,0,0,0,1
1715252890061,1,1.602,0.912,0,0,0,1
1715252890073,1,1.602,0.912,0,0,0,1
1715252890086,1,1.602,0.912,0,0,0,1
1715252890100,1,1.602,0.912,0,0,0,1
1715252890114,1,1.602,0.912,0,0,0,1
1715252890128,1,1.602,0.912,0,0,0,1
1715252890143,1,1.602,0.912,0,0,0,1
1715252890157,1,1.602,0.912,0,0,0,1
1715252890171,1,1.602,0.912,0,0,0,1
1715252890186,1,1.602,0.912,0,0,0,1
1715252890204,1,1.602,0.912,0,0,0,1
1715252890223,1,1.602,0.912,0,0,0,1
1715252890242,1,1.602,0.912,0,0,0,1
1715252890258,1,1.602,0.912,0,0,0,1
1715252890280,1,1.602,0.912,0,0,0,1
1715252890298,1,1.602,0.912,0,0,0,1
1715252890314,1,1.602,0.912,0,0,0,1
1715252890335,1,1.602,0.912,0,0,0,1
1715252890361,1,1.602,0.912,0,0,0,1
1715252890384,1,1.602,0.912,0,0,0,1
1715252890404,1,1.602,0.912,0,0,0,1
1715252890424,1,1.602,0.912,0,0,0,1
1715252890471,1,1.602,0.912,0,0,0,1
1715252890482,1,1.602,0.912,0,0,0,1
1715252890527,1,1.602,0.912,0,0,0,1
1715252890560,1,1.602,0.912,0,0,0,1
1715252890576,1,1.602,0.912,0,0,0,1
1715252890592,1,1.602,0.912,0,0,0,1
1715252890609,1,1.602,0.912,0,0,0,1
1715252890625,1,1.602,0.912,0,0,0,1
1715252890645,1,1.602,0.912,0,0,0,1
1715252890664,1,1.602,0.912,0,0,0,1
1715252890678,1,1.602,0.912,0,0,0,1
1715252890698,1,1.602,0.912,0,0,0,1
1715252890718,1,1.602,0.912,0,0,0,1
1715252890740,1,1.602,0.912,0,0,0,1
1715252890759,1,1.602,0.912,0,0,0,1
1715252890780,1,1.602,0.912,0,0,0,1
1715252890798,1,1.602,0.912,0,0,0,1
1715252890816,1,1.602,0.912,0,0,0,1
1715252890833,1,1.602,0.912,0,0,0,1
1715252890855,1,1.602,0.912,0,0,0,1
1715252890875,1,1.602,0.912,0,0,0,1
1715252890896,1,1.602,0.912,0,0,0,1
1715252890913,1,1.602,0.912,0,0,0,1
1715252890928,1,1.602,0.912,0,0,0,1
1715252890943,1,1.602,0.912,0,0,0,1
1715252890963,1,1.602,0.912,0,0,0,1
1715252890981,1,1.602,0.912,0,0,0,1
1715252891003,1,1.602,0.912,0,0,0,1
1715252891022,1,1.602,0.912,0,0,0,1
1715252891042,1,1.602,0.912,0,0,0,1
1715252891064,1,1.602,0.912,0,0,0,1
1715252891077,1,1.602,0.912,0,0,0,1
1715252891099,1,1.602,0.912,0,0,0,1
1715252891117,1,1.602,0.912,0,0,0,1
1715252891135,1,1.602,0.912,0,0,0,1
1715252891157,1,1.602,0.912,0,0,0,1
1715252891173,1,1.602,0.912,0,0,0,1
1715252891192,1,1.602,0.912,0,0,0,1
1715252891210,1,1.602,0.912,0,0,0,1
1715252891227,1,1.602,0.912,0,0,0,1
1715252891241,1,1.602,0.912,0,0,0,1
1715252891258,1,1.602,0.912,0,0,0,1
1715252891276,1,1.602,0.912,0,0,0,1
1715252891296,1,1.602,0.912,0,0,0,1
1715252891316,1,1.602,0.912,0,0,0,1
1715252891337,1,1.602,0.912,0,0,0,1
1715252891363,1,1.602,0.912,0,0,0,1
1715252891386,1,1.602,0.912,0,0,0,1
1715252891410,1,1.602,0.912,0,0,0,1
1715252891425,1,1.602,0.912,0,0,0,1
1715252891441,1,1.602,0.912,0,0,0,1
1715252891455,1,1.602,0.912,0,0,0,1
1715252891473,1,1.602,0.912,0,0,0,1
1715252891490,1,1.602,0.912,0,0,0,1
1715252891504,1,1.602,0.912,0,0,0,1
1715252891520,1,1.602,0.912,0,0,0,1
1715252891537,1,1.602,0.912,0,0,0,1
1715252891554,1,1.602,0.912,0,0,0,1
1715252891569,1,1.602,0.912,0,0,0,1
1715252891585,1,1.602,0.912,0,0,0,1
1715252891601,1,1.602,0.912,0,0,0,1
1715252891617,1,1.602,0.912,0,0,0,1
1715252891634,1,1.602,0.912,0,0,0,1
1715252891650,1,1.602,0.912,0,0,0,1
1715252891666,1,1.602,0.912,0,0,0,1
1715252891683,1,1.602,0.912,0,0,0,1
1715252891700,1,1.602,0.912,0,0,0,1
1715252891720,1,1.602,0.912,0,0,0,1
1715252891738,1,1.602,0.912,0,0,0,1
1715252891756,1,1.602,0.912,0,0,0,1
1715252891772,1,1.602,0.912,0,0,0,1
1715252891788,1,1.602,0.912,0,0,0,1
1715252891803,1,1.602,0.912,0,0,0,1
1715252891817,1,1.602,0.912,0,0,0,1
1715252891834,1,1.602,0.912,0,0,0,1
1715252891849,1,1.602,0.912,0,0,0,1
1715252891864,1,1.602,0.912,0,0,0,1
1715252891880,1,1.602,0.912,0,0,0,1
1715252891897,1,1.602,0.912,0,0,0,1
1715252891914,1,1.602,0.912,0,0,0,1
1715252891935,1,1.602,0.912,0,0,0,1
1715252891954,1,1.602,0.912,0,0,0,1
1715252891970,1,1.602,0.912,0,0,0,1
1715252891985,1,1.602,0.912,0,0,0,1
1715252892002,1,1.602,0.912,0,0,0,1
1715252892016,1,1.602,0.912,0,0,0,1
1715252892031,1,1.602,0.912,0,0,0,1
1715252892046,1,1.602,0.912,0,0,0,1
1715252892061,1,1.602,0.912,0,0,0,1
1715252892076,1,1.602,0.912,0,0,0,1
1715252892094,1,1.602,0.912,0,0,0,1
1715252892110,1,1.602,0.912,0,0,0,1
1715252892127,1,1.602,0.912,0,0,0,1
1715252892145,1,1.602,0.912,0,0,0,1
1715252892159,1,1.602,0.912,0,0,0,1
1715252892174,1,1.602,0.912,0,0,0,1
1715252892190,1,1.602,0.912,0,0,0,1
1715252892205,1,1.602,0.912,0,0,0,1
1715252892220,1,1.602,0.912,0,0,0,1
1715252892237,1,1.602,0.912,0,0,0,1
1715252892252,1,1.602,0.912,0,0,0,1
1715252892268,1,1.602,0.912,0,0,0,1
1715252892283,1,1.602,0.912,0,0,0,1
1715252892298,1,1.602,0.912,0,0,0,1
1715252892316,1,1.602,0.912,0,0,0,1
1715252892334,1,1.602,0.912,0,0,0,1
1715252892355,1,1.602,0.912,0,0,0,1
1715252892374,1,1.602,0.912,0,0,0,1
1715252892390,1,1.602,0.912,0,0,0,1
1715252892404,1,1.602,0.912,0,0,0,1
1715252892419,1,1.602,0.912,0,0,0,1
1715252892435,1,1.602,0.912,0,0,0,1
1715252892451,1,1.602,0.912,0,0,0,1
1715252892466,1,1.602,0.912,0,0,0,1
