PosX,PosY,PosZ,QuaX,QuaY,QuaZ,QuaW
1715252888659,0.9087555,0.1049216,0.7346994,0.01346031,0.5198601,0.8538593,0.0221076
1715252889439,0.8940831,0.1066362,0.7629829,-0.02125997,0.5229946,0.8502464,0.05573107
1715252889512,0.9149891,0.1000003,0.7570345,-0.008168302,0.5190104,0.8540759,0.03340335
1715252889530,0.9149325,0.1000001,0.7571874,-0.00788211,0.5190611,0.8540553,0.03321483
1715252889549,0.9149138,0.1000003,0.7572356,-0.007757836,0.5191089,0.8540308,0.03312695
1715252889563,0.914894,0.0999999,0.7572877,-0.007618043,0.5191657,0.8540015,0.03302651
1715252889581,0.9148774,0.1000001,0.7573336,-0.007486131,0.5192167,0.8539754,0.03293281
1715252889595,0.914856,0.1000004,0.7573939,-0.0073101,0.5192825,0.8539415,0.0328099
1715252889609,0.9148398,0.1000001,0.7574416,-0.007166626,0.519329,0.8539181,0.03271489
1715252889632,0.9148235,0.0999999,0.7574912,-0.007015535,0.5193735,0.8538958,0.03261811
1715252889646,0.9147946,0.0999999,0.757583,-0.006737327,0.519444,0.8538618,0.03245038
1715252889662,0.9147779,0.1000001,0.7576394,-0.006567637,0.5194808,0.8538442,0.03235348
1715252889675,0.9147603,0.1000005,0.7577004,-0.006390296,0.5195184,0.8538264,0.03225422
1715252889690,0.9147453,0.1000001,0.7577558,-0.006233903,0.5195507,0.8538112,0.03216809
1715252889706,0.9147267,0.1000001,0.7578239,-0.00605021,0.5195894,0.853793,0.03206659
1715252889720,0.9147072,0.1000004,0.7578904,-0.005886053,0.519628,0.8537741,0.03197232
1715252889734,0.9146895,0.1,0.757953,-0.005738169,0.5196622,0.8537573,0.03188803
1715252889749,0.9146701,0.1000001,0.7580115,-0.005619568,0.5196822,0.8537488,0.03181491
1715252889762,0.9146484,0.1000001,0.7580781,-0.005491666,0.5197029,0.8537398,0.03173623
1715252889773,0.9146277,0.1000001,0.7581394,-0.005386605,0.5197067,0.8537406,0.03167304
1715252889787,0.91461,0.1000004,0.7581925,-0.005304587,0.5197008,0.8537464,0.03162446
1715252889800,0.9145887,0.0999999,0.7582591,-0.00520648,0.5196934,0.8537537,0.03156673
1715252889816,0.9145682,0.1000004,0.7583278,-0.005109307,0.5196654,0.8537728,0.03151988
1715252889832,0.9145455,0.1000004,0.7584083,-0.005001517,0.5196341,0.8537947,0.03146774
1715252889848,0.9145251,0.1000003,0.758492,-0.004895426,0.5195892,0.8538241,0.03142481
1715252889861,0.9145047,0.1000001,0.7585838,-0.004785601,0.5195377,0.8538579,0.03138265
1715252889873,0.9144901,0.1000003,0.7586613,-0.00470543,0.5194887,0.8538895,0.03134955
1715252889889,0.9144783,0.1,0.7587354,-0.004635899,0.5194358,0.8539229,0.03131845
1715252889904,0.9144641,0.1000004,0.7588262,-0.004555212,0.5193682,0.8539661,0.03127979
1715252889917,0.9144573,0.1000001,0.7589092,-0.004511747,0.5192905,0.8540146,0.03124651
1715252889932,0.9144509,0.1000004,0.7589819,-0.004473772,0.5192227,0.8540572,0.03121632
1715252889946,0.9144513,0.1000001,0.7590593,-0.004468806,0.5191321,0.8541128,0.03119962
1715252889964,0.9144533,0.1000003,0.7591287,-0.004472516,0.5190471,0.8541647,0.03118732
1715252889977,0.9144612,0.1,0.7592125,-0.004513859,0.5189293,0.8542358,0.03119772
1715252889991,0.9144702,0.1000004,0.7592734,-0.004563486,0.5188354,0.8542919,0.0312182
1715252890004,0.9144798,0.1,0.7593312,-0.004618858,0.5187439,0.8543463,0.03124453
1715252890018,0.9144909,0.1000001,0.7593832,-0.004688163,0.5186535,0.8543991,0.03128533
1715252890035,0.9145038,0.09999967,0.7594463,-0.004768508,0.5185477,0.8544615,0.03133023
1715252890048,0.9145216,0.1000001,0.7595181,-0.004864684,0.5184286,0.8545312,0.03137973
1715252890061,0.914536,0.09999967,0.7595758,-0.00493942,0.5183358,0.8545858,0.03141557
1715252890073,0.9145518,0.1000003,0.7596393,-0.005011579,0.5182391,0.8546429,0.03144353
1715252890087,0.9145682,0.1000003,0.7597034,-0.005076556,0.5181451,0.8546988,0.03146221
1715252890100,0.9145849,0.1000001,0.7597712,-0.00514112,0.5180498,0.8547556,0.03147814
1715252890114,0.914611,0.0999999,0.7598448,-0.005204094,0.5179414,0.8548201,0.03150738
1715252890129,0.9146396,0.1000004,0.7599267,-0.005269604,0.5178246,0.854889,0.03153508
1715252890143,0.9146745,0.1,0.760005,-0.005331483,0.517706,0.8549588,0.03158323
