PosX,PosY,PosZ,QuaX,QuaY,QuaZ,QuaW
1715252888658,1.091245,0.1049216,0.7346991,-0.01345999,0.51986,0.8538592,-0.02210842
1715252889439,1.094671,0.1071502,0.752869,0.04432943,0.5190723,0.85223,-0.04799177
1715252889511,1.084989,0.1000001,0.7570275,0.04251571,0.517761,0.8528681,-0.05226943
1715252889530,1.084933,0.1,0.7570388,0.04272136,0.5178719,0.8527814,-0.05241607
1715252889549,1.084914,0.1000004,0.7570226,0.04283515,0.5179283,0.8527362,-0.05250073
1715252889563,1.084894,0.1000001,0.757001,0.04296807,0.5179923,0.8526848,-0.05260123
1715252889581,1.084877,0.1000004,0.7569785,0.04309683,0.5180463,0.8526394,-0.05269689
1715252889595,1.084856,0.0999999,0.7569473,0.04327136,0.5181144,0.8525811,-0.05282516
1715252889609,1.084839,0.1000003,0.7569214,0.04341518,0.518161,0.8525393,-0.05292596
1715252889632,1.084823,0.1000004,0.7568944,0.04356758,0.5182044,0.8524985,-0.0530303
1715252889646,1.084793,0.09999967,0.7568457,0.04385068,0.5182716,0.852432,-0.05321581
1715252889661,1.084776,0.1000001,0.7568172,0.04402449,0.5183057,0.8523955,-0.05332522
1715252889674,1.084758,0.09999967,0.7567884,0.04420747,0.5183399,0.8523579,-0.05343916
1715252889690,1.084742,0.1000001,0.7567644,0.04437015,0.5183691,0.8523256,-0.05353974
1715252889706,1.084723,0.1000001,0.7567375,0.04456285,0.5184042,0.8522863,-0.05366001
1715252889719,1.084703,0.1000003,0.7567164,0.04473746,0.5184408,0.8522478,-0.05377373
1715252889733,1.084685,0.1000001,0.7566991,0.04489622,0.5184727,0.8522136,-0.0538768
1715252889748,1.084665,0.09999967,0.7566888,0.04502507,0.5184927,0.8521888,-0.05396949
1715252889761,1.084643,0.1,0.7566806,0.04516543,0.5185136,0.8521621,-0.05407049
1715252889773,1.084622,0.1000003,0.7566783,0.04528147,0.5185183,0.8521476,-0.0541558
1715252889786,1.084603,0.1000001,0.7566801,0.04537299,0.5185142,0.8521412,-0.05422414
1715252889800,1.084581,0.0999999,0.7566851,0.04548328,0.5185085,0.8521335,-0.05430634
1715252889816,1.084561,0.0999999,0.7566947,0.04559153,0.5184822,0.852139,-0.05437915
1715252889832,1.084537,0.1000004,0.7567095,0.04571277,0.5184522,0.8521457,-0.05446053
1715252889848,1.084516,0.1000001,0.7567297,0.04583221,0.5184087,0.8521609,-0.05453394
1715252889860,1.084495,0.1,0.7567564,0.04595644,0.5183585,0.8521798,-0.05460816
1715252889873,1.08448,0.0999999,0.7567836,0.04604889,0.5183114,0.8522,-0.05466805
1715252889888,1.084467,0.1000001,0.7568119,0.04613045,0.518261,0.8522224,-0.05472535
1715252889903,1.084453,0.1000001,0.7568476,0.04622682,0.5181968,0.8522517,-0.05479649
1715252889917,1.084445,0.0999999,0.7568887,0.04628538,0.5181254,0.8522877,-0.05486201
1715252889932,1.084439,0.1,0.756925,0.04633727,0.5180628,0.8523191,-0.05491975
1715252889946,1.084439,0.1000001,0.7569754,0.04635807,0.5179824,0.8523638,-0.05496846
1715252889964,1.08444,0.1,0.7570239,0.04636947,0.5179071,0.8524062,-0.05500987
1715252889977,1.084448,0.1000004,0.7570964,0.04634806,0.5178052,0.8524673,-0.0550366
1715252889991,1.084457,0.1000004,0.7571571,0.04631413,0.5177251,0.8525176,-0.05504406
1715252890003,1.084467,0.0999999,0.7572187,0.04627417,0.5176472,0.852567,-0.05504375
1715252890018,1.084478,0.1000004,0.7572827,0.04621975,0.5175717,0.852617,-0.05502737
1715252890034,1.084491,0.0999999,0.7573595,0.04615769,0.5174828,0.8526754,-0.05501
1715252890047,1.084509,0.1000004,0.7574499,0.04608254,0.5173829,0.8527413,-0.05499035
1715252890061,1.084524,0.1000001,0.7575223,0.04602485,0.5173051,0.8527922,-0.05497676
1715252890073,1.08454,0.1000001,0.7575988,0.0459706,0.5172229,0.8528455,-0.05497081
1715252890086,1.084556,0.0999999,0.7576736,0.0459235,0.5171427,0.8528966,-0.05497241
1715252890100,1.084573,0.1000003,0.7577519,0.0458773,0.5170608,0.8529485,-0.05497596
1715252890114,1.084599,0.1000006,0.7578387,0.04583342,0.5169656,0.853009,-0.0549666
