LeftRoll,LeftFootHeight,RightRoll,RightFootHeight
1715252889441,0,0,0,0
1715252889512,0,0,0,0
1715252889530,0,0,0,0
1715252889549,0,0,0,0
1715252889564,0,0,0,0
1715252889581,0,0,0,0
1715252889595,0,0,0,0
1715252889609,0,0,0,0
1715252889632,0,0,0,0
1715252889646,0,0,0,0
1715252889662,0,0,0,0
1715252889675,0,0,0,0
1715252889691,0,0,0,0
1715252889707,0,0,0,0
1715252889720,0,0,0,0
1715252889734,0,0,0,0
1715252889749,0,0,0,0
1715252889762,0,0,0,0
1715252889773,0,0,0,0
1715252889787,0,0,0,0
1715252889801,0,0,0,0
1715252889816,0,0,0,0
1715252889832,0,0,0,0
1715252889848,0,0,0,0
1715252889861,0,0,0,0
1715252889873,0,0,0,0
1715252889889,0,0,0,0
1715252889904,0,0,0,0
1715252889917,0,0,0,0
1715252889933,0,0,0,0
1715252889947,0,0,0,0
1715252889964,0,0,0,0
1715252889977,0,0,0,0
1715252889992,0,0,0,0
1715252890004,0,0,0,0
1715252890018,0,0,0,0
1715252890035,0,0,0,0
1715252890048,0,0,0,0
1715252890062,0,0,0,0
1715252890074,0,0,0,0
1715252890087,0,0,0,0
1715252890101,0,0,0,0
1715252890114,0,0,0,0
1715252890129,0,0,0,0
1715252890144,0,0,0,0
1715252890157,0,0,0,0
1715252890171,0,0,0,0
1715252890187,0,0,0,0
1715252890204,0,0,0,0
1715252890223,0,0,0,0
1715252890243,0,0,0,0
1715252890259,0,0,0,0
1715252890280,0,0,0,0
1715252890298,0,0,0,0
1715252890314,0,0,0,0
1715252890335,0,0,0,0
1715252890362,0,0,0,0
1715252890384,0,0,0,0
1715252890404,0,0,0,0
1715252890424,0,0,0,0
1715252890471,0,0,0,0
1715252890483,0,0,0,0
1715252890527,0,0,0,0
1715252890560,0,0,0,0
1715252890577,0,0,0,0
1715252890593,0,0,0,0
1715252890610,0,0,0,0
1715252890626,0,0,0,0
1715252890645,0,0,0,0
1715252890664,0,0,0,0
1715252890678,0,0,0,0
1715252890698,0,0,0,0
1715252890719,0,0,0,0
1715252890740,0,0,0,0
1715252890760,0,0,0,0
1715252890780,0,0,0,0
1715252890799,0,0,0,0
1715252890816,0,0,0,0
1715252890834,0,0,0,0
1715252890856,0,0,0,0
1715252890875,0,0,0,0
1715252890896,0,0,0,0
1715252890913,0,0,0,0
1715252890929,0,0,0,0
1715252890944,0,0,0,0
1715252890963,0,0,0,0
1715252890982,0,0,0,0
1715252891004,0,0,0,0
1715252891023,0,0,0,0
1715252891042,0,0,0,0
1715252891064,0,0,0,0
1715252891077,0,0,0,0
1715252891100,0,0,0,0
1715252891118,0,0,0,0
1715252891135,0,0,0,0
1715252891157,0,0,0,0
1715252891173,0,0,0,0
1715252891192,0,0,0,0
1715252891211,0,0,0,0
1715252891227,0,0,0,0
1715252891242,0,0,0,0
1715252891258,0,0,0,0
1715252891276,0,0,0,0
1715252891296,0,0,0,0
1715252891317,0,0,0,0
1715252891338,0,0,0,0
1715252891363,0,0,0,0
1715252891386,0,0,0,0
1715252891410,0,0,0,0
1715252891426,0,0,0,0
1715252891441,0,0,0,0
1715252891456,0,0,0,0
1715252891473,0,0,0,0
1715252891491,0,0,0,0
1715252891504,0,0,0,0
1715252891520,0,0,0,0
1715252891538,0,0,0,0
1715252891554,0,0,0,0
1715252891570,0,0,0,0
1715252891586,0,0,0,0
1715252891602,0,0,0,0
1715252891618,0,0,0,0
1715252891635,0,0,0,0
1715252891651,0,0,0,0
1715252891666,0,0,0,0
1715252891684,0,0,0,0
1715252891700,0,0,0,0
1715252891720,0,0,0,0
1715252891739,0,0,0,0
1715252891757,0,0,0,0
1715252891772,0,0,0,0
1715252891788,0,0,0,0
1715252891804,0,0,0,0
1715252891818,0,0,0,0
1715252891834,0,0,0,0
1715252891850,0,0,0,0
1715252891865,0,0,0,0
1715252891881,0,0,0,0
1715252891897,0,0,0,0
1715252891915,0,0,0,0
1715252891936,0,0,0,0
1715252891954,0,0,0,0
1715252891971,0,0,0,0
1715252891986,0,0,0,0
1715252892002,0,0,0,0
1715252892017,0,0,0,0
1715252892032,0,0,0,0
1715252892047,0,0,0,0
1715252892062,0,0,0,0
1715252892077,0,0,0,0
1715252892095,0,0,0,0
1715252892110,0,0,0,0
1715252892127,0,0,0,0
1715252892146,0,0,0,0
1715252892160,0,0,0,0
1715252892175,0,0,0,0
1715252892191,0,0,0,0
1715252892206,0,0,0,0
1715252892221,0,0,0,0
1715252892238,0,0,0,0
1715252892253,0,0,0,0
1715252892269,0,0,0,0
1715252892284,0,0,0,0
1715252892299,0,0,0,0
1715252892317,0,0,0,0
1715252892334,0,0,0,0
1715252892356,0,0,0,0
1715252892375,0,0,0,0
1715252892390,0,0,0,0
1715252892405,0,0,0,0
1715252892420,0,0,0,0
1715252892435,0,0,0,0
1715252892451,0,0,0,0
1715252892466,0,0,0,0
1715252892482,0,0,0,0
1715252892494,0,0,0,0
1715252892509,0,0,0,0
1715252892526,0,0,0,0
1715252892543,0,0,0,0
1715252892559,0,0,0,0
1715252892575,0,0,0,0
1715252892591,0,0,0,0
1715252892606,0,0,0,0
1715252892624,0,0,0,0
1715252892640,0,0,0,0
1715252892654,0,0,0,0
1715252892671,0,0,0,0
1715252892686,0,0,0,0
1715252892701,0,0,0,0
1715252892717,0,0,0,0
1715252892736,0,0,0,0
1715252892753,0,0,0,0
1715252892772,0,0,0,0
1715252892789,0,0,0,0
1715252892804,0,0,0,0
1715252892822,0,0,0,0
1715252892836,0,0,0,0
1715252892852,0,0,0,0
1715252892870,0,0,0,0
1715252892886,0,0,0,0
1715252892902,0,0,0,0
1715252892917,0,0,0,0
1715252892936,0,0,0,0
1715252892953,0,0,0,0
1715252892973,0,0,0,0
1715252892990,0,0,0,0
1715252893005,0,0,0,0
1715252893020,0,0,0,0
1715252893036,0,0,0,0
1715252893051,0,0,0,0
1715252893068,0,0,0,0
1715252893084,0,0,0,0
1715252893113,0,0,0,0
1715252893127,0,0,0,0
1715252893177,0,0,0,0
1715252893198,0,0,0,0
