Timestamp,PosX,PosY,PosZ,QuaX,QuaY,QuaZ,QuaW
1715269852924,1,1.602,0.912,0,0,0,1
1715269853864,1,1.602,0.912,0,0,0,1
1715269854171,1,1.602,0.912,0,0,0,1
1715269854407,1,1.602,0.912,0,0,0,1
1715269854628,1,1.602,0.912,0,0,0,1
1715269854849,1,1.602,0.912,0,0,0,1
1715269855093,1,1.602,0.912,0,0,0,1
1715269855323,1,1.602,0.912,0,0,0,1
1715269855691,1,1.602,0.912,0,0,0,1
1715269855938,1,1.602,0.912,0,0,0,1
1715269856182,1,1.602,0.912,0,0,0,1
1715269856401,1,1.602,0.912,0,0,0,1
1715269856645,1,1.602,0.912,0,0,0,1
1715269856870,1,1.602,0.912,0,0,0,1
1715269857124,1,1.602,0.912,0,0,0,1
1715269857382,1,1.602,0.912,0,0,0,1
1715269857605,1,1.602,0.912,0,0,0,1
1715269857805,1,1.602,0.912,0,0,0,1
1715269857996,1,1.602,0.912,0,0,0,1
1715269858227,1,1.602,0.912,0,0,0,1
1715269858418,1,1.602,0.912,0,0,0,1
1715269858627,1,1.602,0.912,0,0,0,1
1715269858824,1,1.602,0.912,0,0,0,1
1715269859008,1,1.602,0.912,0,0,0,1
1715269859212,1,1.602,0.912,0,0,0,1
1715269859397,1,1.602,0.912,0,0,0,1
1715269859580,1,1.602,0.912,0,0,0,1
1715269859777,1,1.602,0.912,0,0,0,1
1715269859979,1,1.602,0.912,0,0,0,1
1715269860160,1,1.602,0.912,0,0,0,1
1715269860329,1,1.602,0.912,0,0,0,1
1715269860505,1,1.602,0.912,0,0,0,1
1715269860687,1,1.602,0.912,0,0,0,1
1715269860890,1,1.602,0.912,0,0,0,1
1715269861078,1,1.602,0.912,0,0,0,1
1715269861256,1,1.602,0.912,0,0,0,1
1715269861437,1,1.602,0.912,0,0,0,1
1715269861615,1,1.602,0.912,0,0,0,1
1715269861799,1,1.602,0.912,0,0,0,1
1715269861997,1,1.602,0.912,0,0,0,1
1715269862163,1,1.602,0.912,0,0,0,1
1715269862336,1,1.602,0.912,0,0,0,1
1715269862504,1,1.602,0.912,0,0,0,1
1715269862673,1,1.602,0.912,0,0,0,1
1715269862850,1,1.602,0.912,0,0,0,1
1715269863006,1,1.602,0.912,0,0,0,1
1715269863169,1,1.602,0.912,0,0,0,1
1715269863331,1,1.602,0.912,0,0,0,1
1715269863516,1,1.602,0.912,0,0,0,1
1715269863670,1,1.602,0.912,0,0,0,1
1715269863847,1,1.602,0.912,0,0,0,1
1715269864016,1,1.602,0.912,0,0,0,1
1715269864166,1,1.602,0.912,0,0,0,1
1715269864350,1,1.602,0.912,0,0,0,1
1715269864517,1,1.602,0.912,0,0,0,1
1715269864689,1,1.602,0.912,0,0,0,1
1715269864859,1,1.602,0.912,0,0,0,1
1715269865018,1,1.602,0.912,0,0,0,1
1715269865185,1,1.602,0.912,0,0,0,1
1715269865325,1,1.602,0.912,0,0,0,1
1715269865475,1,1.602,0.912,0,0,0,1
1715269865615,1,1.602,0.912,0,0,0,1
1715269865765,1,1.602,0.912,0,0,0,1
1715269865905,1,1.602,0.912,0,0,0,1
1715269866052,1,1.602,0.912,0,0,0,1
1715269866201,1,1.602,0.912,0,0,0,1
1715269866354,1,1.602,0.912,0,0,0,1
1715269866526,1,1.602,0.912,0,0,0,1
1715269866698,1,1.602,0.912,0,0,0,1
1715269866866,1,1.602,0.912,0,0,0,1
1715269867029,1,1.602,0.912,0,0,0,1
1715269867188,1,1.602,0.912,0,0,0,1
1715269867345,1,1.602,0.912,0,0,0,1
1715269867512,1,1.602,0.912,0,0,0,1
1715269867684,1,1.602,0.912,0,0,0,1
1715269867857,1,1.602,0.912,0,0,0,1
1715269868029,1,1.602,0.912,0,0,0,1
1715269868198,1,1.602,0.912,0,0,0,1
1715269868365,1,1.602,0.912,0,0,0,1
1715269868518,1,1.602,0.912,0,0,0,1
1715269868692,1,1.602,0.912,0,0,0,1
1715269868837,1,1.602,0.912,0,0,0,1
1715269868999,1,1.602,0.912,0,0,0,1
1715269869152,1,1.602,0.912,0,0,0,1
1715269869320,1,1.602,0.912,0,0,0,1
1715269869474,1,1.602,0.912,0,0,0,1
1715269869622,1,1.602,0.912,0,0,0,1
1715269869759,1,1.602,0.912,0,0,0,1
1715269869899,1,1.602,0.912,0,0,0,1
1715269870054,1,1.602,0.912,0,0,0,1
1715269870195,1,1.602,0.912,0,0,0,1
1715269870326,1,1.602,0.912,0,0,0,1
1715269870467,1,1.602,0.912,0,0,0,1
1715269870601,1,1.602,0.912,0,0,0,1
1715269870743,1,1.602,0.912,0,0,0,1
1715269870880,1,1.602,0.912,0,0,0,1
1715269871007,1,1.602,0.912,0,0,0,1
1715269871162,1,1.602,0.912,0,0,0,1
1715269871309,1,1.602,0.912,0,0,0,1
1715269871449,1,1.602,0.912,0,0,0,1
1715269871576,1,1.602,0.912,0,0,0,1
1715269871704,1,1.602,0.912,0,0,0,1
1715269871831,1,1.602,0.912,0,0,0,1
1715269871971,1,1.602,0.912,0,0,0,1
1715269872119,1,1.602,0.912,0,0,0,1
1715269872252,1,1.602,0.912,0,0,0,1
1715269872394,1,1.602,0.912,0,0,0,1
1715269872534,1,1.602,0.912,0,0,0,1
1715269872668,1,1.602,0.912,0,0,0,1
1715269872812,1,1.602,0.912,0,0,0,1
1715269872951,1,1.602,0.912,0,0,0,1
1715269873099,1,1.602,0.912,0,0,0,1
1715269873242,1,1.602,0.912,0,0,0,1
1715269873383,1,1.602,0.912,0,0,0,1
1715269873523,1,1.602,0.912,0,0,0,1
1715269873654,1,1.602,0.912,0,0,0,1
1715269873803,1,1.602,0.912,0,0,0,1
1715269873955,1,1.602,0.912,0,0,0,1
1715269874106,1,1.602,0.912,0,0,0,1
1715269874245,1,1.602,0.912,0,0,0,1
1715269874380,1,1.602,0.912,0,0,0,1
1715269874522,1,1.602,0.912,0,0,0,1
1715269874670,1,1.602,0.912,0,0,0,1
1715269874819,1,1.602,0.912,0,0,0,1
1715269874970,1,1.602,0.912,0,0,0,1
1715269875109,1,1.602,0.912,0,0,0,1
1715269875251,1,1.602,0.912,0,0,0,1
1715269875403,1,1.602,0.912,0,0,0,1
1715269875535,1,1.602,0.912,0,0,0,1
1715269875660,1,1.602,0.912,0,0,0,1
1715269875798,1,1.602,0.912,0,0,0,1
1715269875941,1,1.602,0.912,0,0,0,1
1715269876071,1,1.602,0.912,0,0,0,1
1715269876207,1,1.602,0.912,0,0,0,1
1715269876347,1,1.602,0.912,0,0,0,1
1715269876473,1,1.602,0.912,0,0,0,1
1715269876611,1,1.602,0.912,0,0,0,1
1715269876744,1,1.602,0.912,0,0,0,1
1715269876876,1,1.602,0.912,0,0,0,1
1715269877004,1,1.602,0.912,0,0,0,1
1715269877137,1,1.602,0.912,0,0,0,1
1715269877277,1,1.602,0.912,0,0,0,1
1715269877404,1,1.602,0.912,0,0,0,1
1715269877543,1,1.602,0.912,0,0,0,1
1715269877674,1,1.602,0.912,0,0,0,1
1715269877823,1,1.602,0.912,0,0,0,1
1715269877955,1,1.602,0.912,0,0,0,1
1715269878101,1,1.602,0.912,0,0,0,1
1715269878229,1,1.602,0.912,0,0,0,1
1715269878379,1,1.602,0.912,0,0,0,1
1715269878519,1,1.602,0.912,0,0,0,1
1715269878649,1,1.602,0.912,0,0,0,1
1715269878788,1,1.602,0.912,0,0,0,1
1715269878924,1,1.602,0.912,0,0,0,1
1715269879055,1,1.602,0.912,0,0,0,1
1715269879190,1,1.602,0.912,0,0,0,1
1715269879322,1,1.602,0.912,0,0,0,1
1715269879449,1,1.602,0.912,0,0,0,1
1715269879580,1,1.602,0.912,0,0,0,1
1715269879712,1,1.602,0.912,0,0,0,1
1715269879842,1,1.602,0.912,0,0,0,1
1715269879978,1,1.602,0.912,0,0,0,1
1715269880115,1,1.602,0.912,0,0,0,1
1715269880244,1,1.602,0.912,0,0,0,1
1715269880380,1,1.602,0.912,0,0,0,1
1715269880509,1,1.602,0.912,0,0,0,1
1715269880642,1,1.602,0.912,0,0,0,1
1715269880775,1,1.602,0.912,0,0,0,1
1715269880926,1,1.602,0.912,0,0,0,1
1715269881058,1,1.602,0.912,0,0,0,1
1715269881194,1,1.602,0.912,0,0,0,1
1715269881338,1,1.602,0.912,0,0,0,1
1715269881471,1,1.602,0.912,0,0,0,1
1715269881600,1,1.602,0.912,0,0,0,1
1715269881749,1,1.602,0.912,0,0,0,1
1715269881897,1,1.602,0.912,0,0,0,1
1715269882044,1,1.602,0.912,0,0,0,1
1715269882182,1,1.602,0.912,0,0,0,1
1715269882316,1,1.602,0.912,0,0,0,1
1715269882451,1,1.602,0.912,0,0,0,1
1715269882592,1,1.602,0.912,0,0,0,1
1715269882725,1,1.602,0.912,0,0,0,1
1715269882865,1,1.602,0.912,0,0,0,1
1715269883010,1,1.602,0.912,0,0,0,1
1715269883167,1,1.602,0.912,0,0,0,1
1715269883316,1,1.602,0.912,0,0,0,1
1715269883474,1,1.602,0.912,0,0,0,1
1715269883615,1,1.602,0.912,0,0,0,1
1715269883769,1,1.602,0.912,0,0,0,1
1715269883916,1,1.602,0.912,0,0,0,1
1715269884062,1,1.602,0.912,0,0,0,1
1715269884232,1,1.602,0.912,0,0,0,1
1715269884373,1,1.602,0.912,0,0,0,1
1715269884523,1,1.602,0.912,0,0,0,1
1715269884658,1,1.602,0.912,0,0,0,1
1715269884791,1,1.602,0.912,0,0,0,1
1715269884945,1,1.602,0.912,0,0,0,1
1715269885087,1,1.602,0.912,0,0,0,1
1715269885231,1,1.602,0.912,0,0,0,1
1715269885384,1,1.602,0.912,0,0,0,1
1715269885529,1,1.602,0.912,0,0,0,1
1715269885671,1,1.602,0.912,0,0,0,1
1715269885821,1,1.602,0.912,0,0,0,1
1715269885958,1,1.602,0.912,0,0,0,1
1715269886098,1,1.602,0.912,0,0,0,1
1715269886255,1,1.602,0.912,0,0,0,1
