Timestamp,PosX,PosY,PosZ,QuaX,QuaY,QuaZ,QuaW
1715314066412,0.9087555,0.1049216,0.7346994,0.01346031,0.5198601,0.8538593,0.0221076
1715314067842,0.8940831,0.1066362,0.7629829,-0.02125997,0.5229946,0.8502464,0.05573107
1715314067992,0.9149891,0.1000003,0.7570345,-0.008168302,0.5190104,0.8540759,0.03340335
1715314068048,0.9148456,0.1000004,0.7574246,-0.007218746,0.5193136,0.8539256,0.03274851
1715314068088,0.9147769,0.1000001,0.7576423,-0.006559305,0.5194826,0.8538433,0.03234869
1715314068116,0.9147306,0.1000004,0.7578112,-0.006082461,0.5195817,0.8537967,0.03208528
1715314068149,0.9146953,0.1000003,0.7579333,-0.005784178,0.5196516,0.8537626,0.0319142
1715314068196,0.9146473,0.1000004,0.7580814,-0.005485603,0.5197037,0.8537396,0.03173249
1715314068236,0.9145759,0.1000003,0.7583027,-0.005144109,0.5196753,0.8537661,0.03153667
1715314068265,0.9145201,0.1000001,0.7585149,-0.004867503,0.5195764,0.8538325,0.03141418
1715314068292,0.9144866,0.1000003,0.758685,-0.004683156,0.5194717,0.8539,0.03133975
1715314068325,0.9144629,0.1000004,0.758844,-0.004545947,0.5193517,0.8539764,0.03127281
1715314068375,0.9144502,0.1,0.7590216,-0.004466585,0.5191786,0.8540844,0.03120574
1715314068427,0.9144683,0.1000004,0.7592609,-0.004553342,0.5188547,0.8542803,0.03121413
1715314068473,0.9145127,0.1000001,0.7594823,-0.004817022,0.5184872,0.854497,0.03135587
1715314068516,0.9145677,0.1000004,0.7597016,-0.005074603,0.5181481,0.854697,0.03146176
1715314068566,0.9146404,0.1000004,0.7599288,-0.005271251,0.5178219,0.8548909,0.03153578
1715314068612,0.9147798,0.09999967,0.7602177,-0.005490298,0.5173832,0.8551471,0.03174666
1715314068651,0.9149293,0.1000003,0.7604982,-0.005706756,0.5170028,0.8553679,0.03196432
1715314068697,0.9150416,0.0999999,0.760718,-0.005928624,0.5167984,0.8554846,0.03209849
1715314068747,0.9151728,0.1000006,0.7609215,-0.006188539,0.5167207,0.8555232,0.03227829
1715314068793,0.9153559,0.1000001,0.7611157,-0.00633526,0.5167559,0.8554929,0.03248187
