Timestamp,PosX,PosY,PosZ,QuaX,QuaY,QuaZ,QuaW
1715337992880,1.091245,0.1049216,0.7346991,-0.01345999,0.51986,0.8538592,-0.02210842
1715337993712,1.09467,0.1071504,0.7528693,0.04432937,0.5190724,0.8522298,-0.04799147
1715337993768,1.084989,0.0999999,0.7570275,0.04251575,0.5177611,0.8528681,-0.05226935
1715337993779,1.084954,0.0999999,0.7570504,0.04260514,0.5178113,0.8528293,-0.0523321
1715337993795,1.084936,0.1000001,0.757041,0.04270154,0.5178617,0.8527896,-0.05240211
1715337993807,1.084928,0.1000001,0.7570359,0.04274597,0.5178842,0.8527716,-0.05243394
1715337993822,1.084913,0.1000001,0.7570212,0.04284264,0.517932,0.8527334,-0.05250675
1715337993836,1.084898,0.0999999,0.7570058,0.04293863,0.517978,0.8526962,-0.05257953
1715337993850,1.08488,0.09999979,0.756982,0.04307743,0.5180385,0.8526462,-0.05268304
1715337993864,1.084858,0.09999979,0.756951,0.04325023,0.5181063,0.8525883,-0.05281006
1715337993878,1.084848,0.1,0.7569363,0.04333184,0.518137,0.8525618,-0.05286936
1715337993891,1.084831,0.1,0.7569072,0.04349434,0.5181837,0.8525183,-0.05298088
1715337993906,1.084814,0.09999967,0.756881,0.04364366,0.5182259,0.8524789,-0.05308279
1715337993929,1.084795,0.1,0.7568482,0.04383536,0.5182686,0.852435,-0.05320681
1715337994058,1.084779,0.0999999,0.7568215,0.0439975,0.5183002,0.8524011,-0.0533088
1715337994087,1.084623,0.0999999,0.7566784,0.04527429,0.5185186,0.8521482,-0.05415159
1715337994100,1.08455,0.1000001,0.7567009,0.04564601,0.5184685,0.8521421,-0.0544169
1715337994118,1.084526,0.0999999,0.756719,0.04577316,0.5184324,0.8521518,-0.05449994
1715337994129,1.084503,0.0999999,0.7567464,0.04591182,0.5183764,0.8521733,-0.05458251
1715337994154,1.084486,0.1000001,0.7567703,0.04601036,0.5183348,0.8521894,-0.05464219
1715337994172,1.084476,0.1,0.7567941,0.04607914,0.5182922,0.8522086,-0.0546904
1715337994186,1.084451,0.0999999,0.7568594,0.04624283,0.5181764,0.8522619,-0.05481584
1715337994200,1.084443,0.1000001,0.756903,0.04630502,0.5181006,0.8523001,-0.05488512
1715337994213,1.084438,0.1000003,0.7569568,0.04635344,0.5180113,0.8523473,-0.0549536
1715337994227,1.08444,0.1000001,0.7570078,0.04636501,0.5179319,0.8523921,-0.05499683
1715337994241,1.084441,0.0999999,0.7570361,0.04637183,0.5178879,0.852417,-0.05502126
1715337994259,1.084448,0.09999967,0.7570943,0.04634881,0.5178078,0.8524658,-0.05503716
1715337994281,1.084466,0.1000001,0.7572123,0.04627905,0.5176547,0.8525621,-0.0550463
1715337994286,1.084473,0.0999999,0.7572542,0.04624298,0.5176049,0.852595,-0.05503534
1715337994298,1.084492,0.0999999,0.7573623,0.04615479,0.5174793,0.8526777,-0.05501034
1715337994311,1.084498,0.0999999,0.7573937,0.04612857,0.517444,0.8527009,-0.05500327
1715337994326,1.08451,0.1000001,0.7574526,0.04607958,0.5173795,0.8527434,-0.05499068
1715337994339,1.084525,0.09999967,0.7575275,0.04602029,0.5172993,0.8527963,-0.05497674
1715337994352,1.084543,0.09999967,0.7576147,0.04595991,0.5172054,0.8528568,-0.05497189
1715337994366,1.084561,0.0999999,0.7576932,0.0459112,0.5171217,0.8529099,-0.05497398
1715337994382,1.08458,0.09999967,0.7577741,0.04586528,0.5170362,0.8529645,-0.05497454
1715337994394,1.084619,0.1000001,0.7579038,0.0458024,0.5168961,0.8530532,-0.05496135
1715337994408,1.084634,0.1,0.7579549,0.04577959,0.5168422,0.8530875,-0.05495778
1715337994421,1.084667,0.1000003,0.7580416,0.04574157,0.5167463,0.8531497,-0.05492366
1715337994435,1.084707,0.09999967,0.7581478,0.0456986,0.5166323,0.8532239,-0.0548796
1715337994449,1.084749,0.1000004,0.7582555,0.04565664,0.5165173,0.8532989,-0.05483067
1715337994462,1.084799,0.0999999,0.7583792,0.04560857,0.5163848,0.8533864,-0.05476435
1715337994476,1.084838,0.1000001,0.7584771,0.04557323,0.5162811,0.8534538,-0.05471492
