Timestamp,PosX,PosY,PosZ,QuaX,QuaY,QuaZ,QuaW
1715473730368,1.091245,0.1049216,0.7826991,-0.01345999,0.51986,0.8538592,-0.02210842
1715473730958,1.09467,0.1071504,0.8008693,0.04432937,0.5190724,0.8522298,-0.04799147
1715473731016,1.084989,0.0999999,0.8050274,0.04261247,0.5193401,0.8519076,-0.05219058
1715473731045,1.084937,0.1000004,0.8050414,0.04279187,0.5194374,0.8518313,-0.05231995
1715473731059,1.08491,0.1,0.8050179,0.04251824,0.5122614,0.8561501,-0.05279901
1715473731075,1.084888,0.09999979,0.8049936,0.04258689,0.5110096,0.8568837,-0.0529722
1715473731088,1.084873,0.1,0.8049725,0.042535,0.5082452,0.8585152,-0.05319118
1715473731115,1.084853,0.09999967,0.8049431,0.0427018,0.5083102,0.8584613,-0.05330924
1715473731131,1.084827,0.09999979,0.8049013,0.04293652,0.5083799,0.8583987,-0.05346588
1715473731155,1.084804,0.0999999,0.8048633,0.04262725,0.4996192,0.8635085,-0.05401255
1715473731172,1.084783,0.1000001,0.8048291,0.0426228,0.4961308,0.8655,-0.05429278
1715473731185,1.084756,0.0999999,0.8047848,0.04280255,0.4944093,0.8664604,-0.05453521
1715473731199,1.084734,0.1,0.8047515,0.04303787,0.494451,0.8664168,-0.05466772
1715473731211,1.084717,0.09999967,0.8047308,0.04319795,0.4944818,0.8663853,-0.0547609
1715473731225,1.084703,0.0999999,0.8047155,0.04332813,0.4945085,0.8663585,-0.05483831
1715473731240,1.084684,0.09999967,0.8046981,0.04294012,0.4852078,0.8715895,-0.0553313
1715473731253,1.084666,0.1000001,0.8046892,0.04293374,0.4831388,0.872728,-0.0554924
1715473731281,1.084645,0.0999999,0.8046811,0.042929,0.4807467,0.8740367,-0.05567795
1715473731297,1.084614,0.1387019,0.7683954,0.04275314,0.474816,0.8772588,-0.05602793
1715473731311,1.084579,0.177404,0.8409691,0.04293883,0.474804,0.8772491,-0.05614309
1715473731324,1.084557,0.1774042,0.8409796,0.04305776,0.4747753,0.8772545,-0.05620915
1715473731341,1.084532,0.177404,0.8409961,0.04319216,0.4747423,0.8772607,-0.05628421
1715473731367,1.084513,0.1387018,0.8772992,0.04179459,0.4489286,0.8907478,-0.05731324
1715473731395,1.08449,0.4199995,1.404762,0.04120427,0.4364362,0.8969298,-0.05781892
1715473731411,1.084466,0.4199997,1.404816,0.04091313,0.4284444,0.9007649,-0.05817353
1715473731427,1.084446,0.42,1.404885,0.04106262,0.4283162,0.9008135,-0.05826409
1715473731440,1.084437,0.4199996,1.404934,0.0407072,0.4209197,0.9042897,-0.05856531
1715473731455,1.084439,0.4199997,1.40498,0.04054131,0.4178216,0.9057245,-0.05869282
1715473731469,1.084441,0.4200002,1.405031,0.04048339,0.4165113,0.9063259,-0.05876433
1715473731483,1.084447,0.4199996,1.405086,0.04040304,0.4153541,0.9068574,-0.0588113
1715473731497,1.084457,0.4199998,1.405155,0.04031263,0.4143972,0.9072971,-0.05884222
1715473731512,1.084467,0.42,1.405219,0.04026936,0.41431,0.9073388,-0.05883935
1715473731526,1.08448,0.4199997,1.405293,0.04020415,0.4142167,0.9073856,-0.05882139
1715473731540,1.084493,0.4199997,1.405369,0.04014128,0.4141241,0.9074317,-0.05880567
1715473731554,1.084508,0.4200001,1.405442,0.03985106,0.4102275,0.9092058,-0.05891269
1715473731568,1.084524,0.4199995,1.405524,0.03975192,0.4096265,0.9094807,-0.05891554
1715473731596,1.084542,0.4199997,1.40561,0.03965152,0.4089229,0.9098007,-0.0589304
1715473731610,1.084568,0.42,1.405729,0.03956236,0.4086221,0.9099392,-0.05894043
1715473731623,1.084607,0.42,1.405863,0.03948791,0.4084677,0.9100122,-0.05893349
1715473731637,1.08463,0.4199996,1.40594,0.03944968,0.4083813,0.9100526,-0.05892992
1715473731652,1.08467,0.4199995,1.406048,0.03935095,0.4074488,0.910475,-0.05892513
1715473731666,1.084707,0.42,1.406147,0.03927585,0.4067929,0.9107729,-0.05890936
1715473731679,1.084756,0.4199998,1.406274,0.03922321,0.4066492,0.910842,-0.05886258
1715473731693,1.084795,0.4199998,1.406369,0.03916785,0.4062723,0.9110149,-0.05883062
1715473731707,1.084844,0.4199996,1.406492,0.03908888,0.4056352,0.911304,-0.05879791
1715473731721,1.084883,0.4199997,1.406592,0.03904418,0.4055496,0.9113466,-0.05876096
1715473731749,1.084932,0.4200002,1.406715,0.03899076,0.4054429,0.9113991,-0.05871833
1715473731763,1.084987,0.4199995,1.40687,0.03869992,0.4018518,0.9129962,-0.0587847
1715473731777,1.085055,0.4199997,1.407068,0.03857887,0.4016025,0.9131144,-0.0587328
1715473731791,1.085091,0.4199997,1.407169,0.03851487,0.4015023,0.9131635,-0.05869535
1715473731803,1.085127,0.4199997,1.407264,0.03848048,0.4018492,0.9130155,-0.05864725
1715473731818,1.085168,0.4199998,1.407349,0.03844891,0.4018573,0.9130166,-0.05859801
1715473731832,1.085223,0.4199997,1.407461,0.03841535,0.4018743,0.9130146,-0.05853385
1715473731846,1.085271,0.42,1.407547,0.03840481,0.4018965,0.9130085,-0.05848215
1715473731860,1.085322,0.4200002,1.40763,0.03845996,0.4027549,0.9126328,-0.05840209
1715473731874,1.085384,0.42,1.407727,0.03848645,0.4030588,0.9125019,-0.05833506
1715473731902,1.085439,0.4199996,1.407804,0.03851778,0.4033315,0.9123836,-0.05827959
1715473731916,1.085519,0.4199995,1.407912,0.03854661,0.4033948,0.9123585,-0.0582182
1715473731929,1.085636,0.4199995,1.408053,0.03857427,0.4035114,0.9123101,-0.05814636
1715473731943,1.085695,0.4199997,1.408122,0.03858865,0.4035755,0.9122832,-0.0581172
1715473731957,1.085776,0.4199997,1.40821,0.03875929,0.4062882,0.9110786,-0.05799797
1715473731972,1.085835,0.42,1.408272,0.03884189,0.407545,0.9105172,-0.05793965
1715473731985,1.085909,0.4199997,1.408347,0.03884576,0.4076538,0.9104695,-0.05792293
1715473731999,1.085989,0.4199997,1.408426,0.03892823,0.4090918,0.9098244,-0.05786268
1715473732014,1.08607,0.4199997,1.408504,0.03897306,0.4100538,0.909392,-0.05782018
1715473732027,1.08614,0.4200001,1.408571,0.03895967,0.4101635,0.9093437,-0.05781014
