Timestamp,LeftRoll,LeftFootHeight,RightRoll,RightFootHeight,CntFtAboveStep,CntFtStep
1715484892496,3.567804,0.02302499,4.828582,0.03114473,0,0
1715484892543,3.507809,0.02263829,4.831866,0.03116586,0,0
1715484892554,3.496,0.02256218,4.832254,0.03116835,0,0
1715484892569,3.483898,0.02248417,4.832627,0.03117075,0,0
1715484892582,3.483898,0.02248417,4.832627,0.03117075,0,0
1715484892599,3.459434,0.02232648,4.833243,0.03117472,0,0
1715484892612,3.459434,0.02232648,4.833243,0.03117472,0,0
1715484892625,3.459434,0.02232648,4.833243,0.03117472,0,0
1715484892638,3.459434,0.02232648,4.833243,0.03117472,0,0
1715484892652,3.397425,0.02192676,4.836083,0.03119299,0,0
1715484892668,3.397425,0.02192676,4.836083,0.03119299,0,0
1715484892682,3.372764,0.02176778,4.837448,0.03120178,0,0
1715484892695,3.359136,0.02167993,4.838398,0.03120789,0,0
1715484892707,3.359136,0.02167993,4.838398,0.03120789,0,0
1715484892721,3.359136,0.02167993,4.838398,0.03120789,0,0
1715484892737,3.345441,0.02159164,4.839308,0.03121375,0,0
1715484892751,3.288117,0.02122208,4.841544,0.03122813,0,0
1715484892765,3.274324,0.02113315,4.842027,0.03123124,0,0
1715484892779,3.24721,0.02095834,4.843386,0.03123999,0,0
1715484892792,3.234001,0.02087318,4.844075,0.03124442,0,0
1715484892805,3.234001,0.02087318,4.844075,0.03124442,0,0
1715484892820,3.234001,0.02087318,4.844075,0.03124442,0,0
1715484892836,3.234001,0.02087318,4.844075,0.03124442,0,0
1715484892850,3.234001,0.02087318,4.844075,0.03124442,0,0
1715484892866,3.159407,0.02039222,4.847281,0.03126505,0,0
1715484892878,3.147487,0.02031536,4.847739,0.031268,0,0
1715484892891,3.135774,0.02023984,4.848329,0.03127179,0,0
1715484892906,3.124531,0.02016734,4.848959,0.03127585,0,0
1715484892919,3.124531,0.02016734,4.848959,0.03127585,0,0
1715484892934,3.124531,0.02016734,4.848959,0.03127585,0,0
1715484892948,3.08133,0.01988877,4.85184,0.03129438,0,0
1715484892961,3.070706,0.01982026,4.852476,0.03129848,0,0
1715484892976,3.060306,0.0197532,4.853193,0.03130309,0,0
1715484892990,3.050585,0.01969051,4.853848,0.03130731,0,0
1715484893004,3.040943,0.01962833,4.854389,0.03131079,0,0
1715484893018,3.040943,0.01962833,4.854389,0.03131079,0,0
1715484893032,3.040943,0.01962833,4.854389,0.03131079,0,0
1715484893046,3.031314,0.01956624,4.85499,0.03131465,0,0
1715484893060,2.995086,0.01933261,4.857521,0.03133094,0,0
1715484893074,2.986648,0.0192782,4.858113,0.03133475,0,0
1715484893088,2.971649,0.01918147,4.859013,0.03134054,0,0
1715484893102,2.964431,0.01913492,4.859428,0.03134321,0,0
1715484893116,2.964431,0.01913492,4.859428,0.03134321,0,0
1715484893129,2.964431,0.01913492,4.859428,0.03134321,0,0
1715484893143,2.964431,0.01913492,4.859428,0.03134321,0,0
