Timestamp,PosX,PosY,PosZ,QuaX,QuaY,QuaZ,QuaW
1718330581030,0.9087555,0.1049216,0.7826994,0.01346031,0.5198601,0.8538593,0.0221076
1718330581772,0.8940831,0.106636,0.8109824,-0.0212601,0.5229945,0.8502466,0.0557313
1718330581835,0.9149891,0.1,0.8050343,-0.006758839,0.4827179,0.8751005,0.03371805
1718330581861,0.9149275,0.1000001,0.8052006,-0.006439269,0.4830223,0.8749425,0.03352662
1718330581875,0.9149026,0.0999999,0.8052659,-0.00625946,0.4830939,0.8749086,0.03341265
1718330581888,0.9148848,0.1000003,0.8053129,-0.006125432,0.4831465,0.8748836,0.03332958
1718330581903,0.9148713,0.1,0.8053518,-0.006010841,0.4832904,0.8748077,0.03325548
1718330581919,0.9148586,0.1,0.8053881,-0.005903228,0.4833834,0.8747597,0.03318844
1718330581932,0.9148398,0.0999999,0.8054428,-0.005734009,0.4834658,0.874719,0.03308983
1718330581946,0.9148185,0.1,0.8055077,-0.005529869,0.4835247,0.874692,0.03297682
1718330581960,0.9148049,0.09999979,0.8055511,-0.005396137,0.4836159,0.8746452,0.03290463
1718330581972,0.9147898,0.09999967,0.8056004,-0.005239875,0.4836497,0.8746303,0.03282753
1718330581987,0.9147732,0.0999999,0.8056558,-0.005068293,0.4836858,0.8746145,0.03274416
1718330582001,0.9147586,0.1000001,0.8057076,-0.004912278,0.483718,0.8746002,0.03267018
1718330582027,0.9147429,0.1000001,0.805765,-0.004751052,0.4839171,0.8744943,0.03258998
1718330582042,0.9147149,0.1000001,0.8058652,-0.004482599,0.4840468,0.8744284,0.03246034
1718330582057,0.914692,0.0999999,0.8059452,-0.004286195,0.4841618,0.8743694,0.032364
1718330582071,0.9146686,0.09999979,0.8060161,-0.004133499,0.4841882,0.8743585,0.03228626
1718330582083,0.914651,0.1000001,0.8060707,-0.004023691,0.4842058,0.8743513,0.03223015
1718330582099,0.9146273,0.1,0.8061416,-0.003895167,0.4842117,0.8743509,0.03216671
1718330582113,0.9146078,0.1000001,0.8062,-0.003806156,0.484349,0.8742768,0.03211953
1718330582127,0.9145865,0.0999999,0.8062671,-0.003705638,0.4844197,0.8742402,0.03207011
1718330582144,0.9145651,0.1000001,0.8063394,-0.003600241,0.4844339,0.8742342,0.03202915
1718330582155,0.9145443,0.1000001,0.8064139,-0.003497896,0.484449,0.8742276,0.03198901
1718330582170,0.9145188,0.1000001,0.8065209,-0.003355616,0.4843884,0.8742635,0.03194689
1718330582184,0.9145045,0.0999999,0.8065864,-0.003274096,0.4843512,0.874285,0.03192345
1718330582197,0.9144915,0.0999999,0.8066549,-0.003198272,0.484307,0.8743107,0.03190024
1718330582210,0.9144787,0.0999999,0.8067342,-0.003128928,0.4844787,0.8742168,0.03187068
1718330582224,0.9144654,0.0999999,0.8068169,-0.003049484,0.4844693,0.8742234,0.0318419
1718330582238,0.9144593,0.1,0.8068868,-0.003011802,0.4844529,0.8742335,0.03181899
1718330582251,0.9144519,0.09999967,0.8069718,-0.002965804,0.4844206,0.8742526,0.03178995
1718330582264,0.9144507,0.0999999,0.8070323,-0.002953708,0.4843985,0.8742654,0.03177719
1718330582278,0.9144527,0.09999967,0.8071011,-0.00295562,0.4843119,0.8743137,0.03176999
1718330582292,0.9144552,0.1000001,0.8071701,-0.00296087,0.4842246,0.8743622,0.03176383
1718330582306,0.914464,0.1000003,0.8072294,-0.003009468,0.4841298,0.8744135,0.03178756
1718330582319,0.9144728,0.0999999,0.807292,-0.003069341,0.4842785,0.8743305,0.03180588
1718330582333,0.9144846,0.0999999,0.8073532,-0.003141948,0.4842272,0.8743571,0.03184442
1718330582348,0.9145002,0.1000001,0.8074265,-0.003239421,0.4841543,0.8743953,0.03189854
1718330582361,0.9145093,0.0999999,0.807468,-0.00329531,0.4841381,0.8744029,0.03192678
1718330582376,0.9145243,0.1,0.8075271,-0.003377276,0.4840937,0.8744256,0.03196583
1718330582389,0.9145403,0.1000001,0.8075929,-0.003461722,0.4839869,0.874483,0.03200562
1718330582403,0.9145591,0.1000001,0.8076667,-0.00354123,0.4838739,0.8745443,0.03203265
1718330582417,0.9145762,0.09999967,0.8077344,-0.003617795,0.4839968,0.8744755,0.03204748
1718330582431,0.9145995,0.1,0.807811,-0.00369041,0.4839417,0.8745047,0.03207124
1718330582445,0.9146244,0.1,0.8078809,-0.003751187,0.4838973,0.8745283,0.03209624
1718330582459,0.9146537,0.09999967,0.8079634,-0.003818712,0.4838385,0.8745593,0.03212451
1718330582473,0.9146926,0.09999979,0.8080415,-0.00388634,0.4838384,0.8745571,0.03218185
1718330582486,0.9147315,0.0999999,0.8081239,-0.003946895,0.4837118,0.8746247,0.03223713
1718330582500,0.9147835,0.1000001,0.8082238,-0.00402195,0.4835519,0.8747098,0.03231747
1718330582515,0.914818,0.0999999,0.8082887,-0.004069471,0.4834479,0.8747653,0.03236958
1718330582528,0.9148687,0.0999999,0.8083845,-0.004153398,0.4835618,0.8746992,0.03243731
1718330582542,0.9149082,0.1,0.8084586,-0.004220955,0.4836031,0.8746743,0.03248707
1718330582556,0.9149537,0.1000003,0.8085431,-0.004292826,0.4835659,0.8746924,0.03254046
1718330582570,0.9149897,0.09999967,0.808616,-0.0043746,0.4835793,0.8746833,0.03258162
1718330582584,0.9150267,0.0999999,0.8086893,-0.004455893,0.4835201,0.874714,0.03262023
1718330582597,0.9150714,0.1000001,0.8087715,-0.004556444,0.4834688,0.8747401,0.03267185
1718330582611,0.9151069,0.1000003,0.8088308,-0.004638094,0.4834441,0.8747516,0.03271678
1718330582626,0.9151463,0.09999979,0.8088899,-0.004738118,0.4838059,0.8745494,0.03275716
1718330582639,0.9151919,0.0999999,0.8089441,-0.00480167,0.4838841,0.8745037,0.03281373
1718330582653,0.9152572,0.1000001,0.8090184,-0.004882996,0.4839694,0.8744534,0.03288425
1718330582667,0.9152883,0.1000004,0.8090497,-0.004904123,0.4840635,0.8744001,0.03291329
1718330582681,0.9153453,0.1000001,0.8091056,-0.004937379,0.4841733,0.8743374,0.03296164
1718330582695,0.9154,0.09999967,0.8091554,-0.004959961,0.484203,0.8743193,0.03300165
1718330582709,0.915462,0.0999999,0.8092062,-0.004976084,0.4842437,0.8742951,0.03304183
1718330582723,0.9155184,0.09999967,0.8092509,-0.004995035,0.4844503,0.8741795,0.03307151
1718330582737,0.9155904,0.0999999,0.8093001,-0.005024048,0.4846923,0.8740439,0.03310245
1718330582752,0.9156578,0.1,0.8093431,-0.005049889,0.4849411,0.8739049,0.03312563
1718330582765,0.9157186,0.09999979,0.8093788,-0.005076103,0.4851991,0.8737611,0.03313813
1718330582779,0.9157992,0.1000004,0.8094216,-0.005101226,0.4852856,0.8737124,0.03314813
1718330582793,0.9158675,0.1,0.8094552,-0.005121747,0.4853598,0.8736708,0.0331519
1718330582807,0.9159638,0.0999999,0.8094951,-0.005162647,0.4854799,0.8736039,0.03315246
1718330582821,0.9160131,0.0999999,0.809514,-0.005185917,0.4856449,0.8735123,0.03314838
1718330582833,0.9160936,0.1000004,0.8095393,-0.005247482,0.4861841,0.873212,0.03314357
1718330582848,0.9161651,0.0999999,0.8095583,-0.005297345,0.4865091,0.8730308,0.03313962
1718330582862,0.9162388,0.0999999,0.8095747,-0.005340674,0.4865943,0.8729832,0.03313933
1718330582877,0.9163172,0.0999999,0.8095866,-0.005400801,0.486805,0.8728652,0.0331453
1718330582890,0.9163941,0.1,0.8095959,-0.005456856,0.4870141,0.8727481,0.03314631
1718330582904,0.9164717,0.1000001,0.8095987,-0.005516694,0.4870835,0.8727083,0.03316655
1718330582919,0.9165555,0.1000001,0.8095986,-0.005579625,0.4871551,0.8726673,0.03318623
1718330582933,0.9166346,0.1000001,0.8095936,-0.005673077,0.4879457,0.872224,0.03320577
1718330582946,0.916737,0.0999999,0.8095804,-0.005764497,0.4880149,0.8721828,0.03325447
1718330582960,0.9168451,0.09999979,0.8095604,-0.005877335,0.4883976,0.8719658,0.03330676
1718330582974,0.9169174,0.1,0.8095419,-0.005959612,0.4885976,0.8718513,0.03335313
1718330582988,0.9170051,0.0999999,0.8095178,-0.006055413,0.4888017,0.8717341,0.03340612
1718330583002,0.9171009,0.0999999,0.8094853,-0.006161193,0.4888406,0.8717092,0.03347547
1718330583016,0.9171971,0.1,0.8094487,-0.006267925,0.4888732,0.8716873,0.03354551
1718330583029,0.9172807,0.09999979,0.8094133,-0.006366954,0.4890513,0.8715842,0.03360527
1718330583043,0.9173642,0.1,0.8093736,-0.006487708,0.4897377,0.8711958,0.03366407
1718330583058,0.9174531,0.1000001,0.809328,-0.006592631,0.4899218,0.871089,0.03372617
1718330583072,0.917537,0.0999999,0.8092819,-0.006695117,0.490082,0.8709958,0.03378497
1718330583085,0.9176148,0.1000004,0.8092396,-0.00679509,0.490429,0.8707978,0.0338348
1718330583100,0.9177067,0.09999967,0.8091898,-0.006897701,0.4903758,0.8708248,0.03389399
1718330583113,0.9178395,0.09999979,0.809118,-0.007045292,0.4902719,0.8708788,0.03397422
1718330583126,0.9178817,0.0999999,0.8090954,-0.007091642,0.4902331,0.8708993,0.03399891
1718330583140,0.9179641,0.1000001,0.8090518,-0.007211871,0.490934,0.8705017,0.03404592
1718330583154,0.9180573,0.1,0.8090026,-0.007319993,0.4910342,0.8704423,0.03409738
1718330583169,0.9181535,0.1000004,0.8089533,-0.007439825,0.4913255,0.8702744,0.03415176
1718330583183,0.9182492,0.0999999,0.8089044,-0.007553631,0.4914199,0.8702179,0.03421386
1718330583197,0.918353,0.09999967,0.8088521,-0.007669699,0.4912971,0.8702834,0.03428639
1718330583211,0.9184493,0.0999999,0.8088048,-0.007779399,0.4911842,0.8703434,0.03435623
1718330583225,0.9185516,0.1,0.8087547,-0.007895474,0.4910651,0.8704066,0.03443701
1718330583239,0.9186543,0.1000001,0.8087076,-0.00804092,0.4919488,0.8699031,0.03450634
1718330583253,0.9187586,0.1000001,0.8086606,-0.008164125,0.4920289,0.8698537,0.03458053
1718330583266,0.9188771,0.1,0.8086123,-0.00829336,0.4921123,0.8698025,0.03464666
1718330583280,0.9189548,0.0999999,0.8085825,-0.008378685,0.4922454,0.8697249,0.03468645
1718330583295,0.9190537,0.0999999,0.8085468,-0.00848118,0.4923612,0.8696566,0.0347345
1718330583308,0.9191545,0.1000001,0.8085178,-0.008552527,0.4922781,0.8697016,0.03475898
1718330583322,0.9192503,0.1000001,0.8084909,-0.00862451,0.4922014,0.8697433,0.0347876
1718330583336,0.9193422,0.1000004,0.8084722,-0.008692236,0.4929295,0.8693296,0.03480059
1718330583350,0.9194515,0.1000001,0.8084518,-0.008745104,0.4930518,0.8692595,0.0348127
1718330583364,0.9195492,0.1000001,0.8084371,-0.008777386,0.4929833,0.8692976,0.03482038
1718330583378,0.9196596,0.0999999,0.8084249,-0.00880504,0.4931102,0.8692251,0.03482462
1718330583392,0.9197569,0.09999967,0.8084148,-0.008839928,0.4934519,0.8690305,0.03483482
1718330583405,0.9198666,0.0999999,0.8084106,-0.008834718,0.4933753,0.8690742,0.03482972
1718330583420,0.9200022,0.1000003,0.8084065,-0.00883397,0.4932825,0.8691267,0.03483127
1718330583434,0.9200801,0.1000001,0.8084091,-0.008814739,0.4932262,0.8691595,0.03482026
1718330583448,0.9201757,0.1000001,0.8084136,-0.008829081,0.4944236,0.8684789,0.03481692
1718330583461,0.9202778,0.1,0.8084213,-0.008796154,0.4943514,0.868521,0.03480125
