Timestamp,PosX,PosY,PosZ,QuaX,QuaY,QuaZ,QuaW
1719682619587,119.8398,0.8529217,97.3788,0.5155824,0.3957956,0.6807587,-0.3377692
1719682621589,119.8583,0.8551502,97.37984,0.5600909,0.3792249,0.6438634,-0.3576685
1719682622283,119.86,0.8480003,97.39024,0.559056,0.3755561,0.6454838,-0.3602293
1719682622361,119.8596,0.8480003,97.39053,0.5608599,0.3749436,0.6431487,-0.3622344
1719682622393,119.8597,0.8480003,97.39067,0.5614154,0.3745221,0.6427845,-0.3624555
1719682622432,119.8597,0.8480003,97.39072,0.5616134,0.3743211,0.6427097,-0.3624895
1719682622473,119.8598,0.8480003,97.39075,0.5617647,0.374083,0.6427138,-0.3624941
1719682622503,119.86,0.8480005,97.39079,0.5618295,0.3738442,0.6428435,-0.362409
1719682622530,119.8601,0.8480005,97.39079,0.5618195,0.3737126,0.6429956,-0.3622911
1719682622560,119.8603,0.8480009,97.3908,0.561793,0.3736038,0.6431531,-0.3621646
1719682622586,119.8605,0.8480009,97.39081,0.5617637,0.3734763,0.6433272,-0.3620319
1719682622632,119.8606,0.8480004,97.39082,0.5617532,0.3733431,0.643469,-0.3619337
1719682622663,119.8609,0.8480005,97.39079,0.5617698,0.3731234,0.6437151,-0.3616967
1719682622690,119.8612,0.8480003,97.39077,0.5617967,0.3729908,0.643903,-0.3614578
1719682622725,119.8614,0.8480005,97.39073,0.561821,0.3728867,0.644071,-0.361228
1719682622761,119.8617,0.8480008,97.39069,0.5618195,0.3728012,0.6442532,-0.3609931
1719682622800,119.862,0.8480004,97.39066,0.5617584,0.3727913,0.6444096,-0.3608192
1719682622836,119.8623,0.8480008,97.39062,0.5616792,0.3728908,0.6445104,-0.3606593
1719682622878,119.8626,0.8480005,97.39054,0.5616517,0.3730537,0.644519,-0.3605183
1719682622907,119.8629,0.8480003,97.39044,0.5616602,0.3732796,0.6444426,-0.3604079
1719682622931,119.8631,0.8480003,97.39035,0.5616583,0.373465,0.6443605,-0.360366
1719682622973,119.8632,0.8480002,97.39027,0.5616449,0.3736218,0.6442835,-0.3603619
1719682622998,119.8635,0.8480004,97.39011,0.561583,0.3739357,0.6441173,-0.36043
1719682623027,119.8637,0.8480005,97.39001,0.5615202,0.3741456,0.6440126,-0.3604966
1719682623065,119.8638,0.8480005,97.38989,0.5614347,0.3743774,0.6439109,-0.3605714
1719682623091,119.8641,0.848,97.38973,0.5613005,0.3746843,0.6438102,-0.3606413
1719682623139,119.8643,0.8480003,97.38961,0.5611941,0.3749047,0.6437605,-0.3606663
1719682623162,119.8646,0.8480003,97.38937,0.5609522,0.3753268,0.643739,-0.3606423
1719682623188,119.8647,0.8479998,97.38925,0.5608163,0.3755372,0.6437493,-0.3606156
1719682623244,119.8649,0.8480005,97.38911,0.5606515,0.3757734,0.643779,-0.3605732
1719682623285,119.8652,0.8480003,97.38885,0.5603545,0.3761173,0.6439006,-0.3604592
1719682623323,119.8654,0.8480005,97.38863,0.5601353,0.3762607,0.6440684,-0.3603509
1719682623358,119.8657,0.8480002,97.38844,0.5599488,0.3762964,0.6442755,-0.3602324
1719682623387,119.8659,0.848,97.38824,0.5597433,0.3763175,0.644509,-0.3601127
1719682623417,119.8661,0.8480003,97.38808,0.5595506,0.3763456,0.6447075,-0.3600279
1719682623469,119.8663,0.848,97.38792,0.5593457,0.3763691,0.644892,-0.3599907
1719682623495,119.8666,0.8480003,97.38763,0.559025,0.3763783,0.6451478,-0.3600205
1719682623524,119.8668,0.8480003,97.38747,0.558898,0.3763611,0.6452513,-0.36005
1719682623564,119.8669,0.8480006,97.38728,0.5587984,0.376323,0.6453406,-0.3600851
1719682623598,119.8671,0.8479998,97.38703,0.5587195,0.3762384,0.6454415,-0.3601151
1719682623652,119.8673,0.8480002,97.38681,0.5587085,0.3761272,0.6455146,-0.3601176
1719682623681,119.8675,0.8480003,97.38651,0.5587845,0.3759079,0.6455706,-0.3601276
1719682623709,119.8676,0.8480005,97.38636,0.5588818,0.3757666,0.6455378,-0.360183
1719682623745,119.8676,0.8480003,97.38624,0.5590174,0.3756276,0.6454534,-0.3602691
1719682623773,119.8677,0.8480005,97.38611,0.5592396,0.3754598,0.6452892,-0.3603929
1719682623807,119.8677,0.848,97.38601,0.559473,0.3753183,0.6451051,-0.3605075
1719682623838,119.8677,0.8480005,97.3859,0.5597689,0.3751628,0.6448663,-0.3606371
1719682623868,119.8677,0.848,97.3858,0.560052,0.3750291,0.6446363,-0.3607481
1719682623894,119.8677,0.8480005,97.38571,0.5603265,0.3749082,0.6444157,-0.3608423
1719682623921,119.8677,0.8479998,97.38564,0.560569,0.3748046,0.6442224,-0.3609181
1719682623951,119.8677,0.8480003,97.38558,0.5608134,0.3746969,0.6440276,-0.3609982
1719682623987,119.8677,0.8480005,97.38553,0.5610865,0.3745631,0.6438018,-0.3611149
1719682624010,119.8676,0.8480005,97.38548,0.5613831,0.3744083,0.6435513,-0.3612614
1719682624038,119.8676,0.8480003,97.38547,0.5615606,0.3743091,0.6433964,-0.3613635
1719682624065,119.8675,0.8480003,97.38547,0.5617421,0.3742043,0.6432361,-0.3614753
1719682624088,119.8675,0.8480003,97.38548,0.5618834,0.3741184,0.6431083,-0.3615718
1719682624116,119.8675,0.848,97.38549,0.5619816,0.3740551,0.6430168,-0.3616476
1719682624158,119.8674,0.8479999,97.38552,0.5620282,0.374017,0.6429659,-0.3617054
1719682624181,119.8674,0.8480005,97.38557,0.5620088,0.3740083,0.6429641,-0.3617474
1719682624209,119.8673,0.848001,97.3856,0.5619541,0.3740276,0.6430001,-0.3617487
1719682624241,119.8673,0.848,97.38565,0.561856,0.3740689,0.6430708,-0.3617331
1719682624269,119.8673,0.8480003,97.3857,0.5617137,0.3741335,0.6431777,-0.3616969
1719682624305,119.8674,0.8480002,97.38573,0.5615424,0.3742213,0.6433083,-0.3616399
1719682624328,119.8674,0.8480003,97.38577,0.5612789,0.37438,0.6435081,-0.361529
1719682624359,119.8674,0.848,97.38577,0.5610818,0.3745124,0.6436568,-0.361433
1719682624444,119.8675,0.8480004,97.38577,0.5608079,0.3747116,0.643865,-0.3612812
1719682624505,119.8678,0.8480003,97.3857,0.5600845,0.3751851,0.6444628,-0.3608454
1719682624553,119.868,0.848,97.38555,0.5596793,0.3753817,0.6448526,-0.360573
1719682624580,119.8682,0.8480003,97.38538,0.5594402,0.3754495,0.6451221,-0.3603913
1719682624604,119.8683,0.848,97.38526,0.5593464,0.3754395,0.6452482,-0.3603221
1719682624640,119.8685,0.8480003,97.38516,0.5592842,0.3754316,0.6453257,-0.3602886
1719682624660,119.8686,0.8480003,97.38503,0.5592288,0.3754331,0.6453766,-0.3602816
1719682624687,119.8687,0.8480003,97.38493,0.5592125,0.3754379,0.6453787,-0.3602973
1719682624726,119.8688,0.8480005,97.38482,0.5592221,0.375449,0.6453522,-0.3603188
1719682624776,119.869,0.8480005,97.38461,0.5593082,0.3754515,0.6452489,-0.3603675
1719682624808,119.8692,0.848,97.38429,0.5595216,0.3753826,0.645029,-0.3605016
1719682624858,119.8694,0.8480005,97.38409,0.5596657,0.3753211,0.6448845,-0.3606004
1719682624878,119.8695,0.8480003,97.3838,0.559892,0.37523,0.6446585,-0.3607478
1719682624907,119.8696,0.848,97.3837,0.5599911,0.3751965,0.6445594,-0.3608061
1719682624930,119.8696,0.848,97.38354,0.5601248,0.3751539,0.644429,-0.3608763
1719682624971,119.8696,0.8480004,97.38343,0.5602299,0.3751242,0.6443276,-0.3609248
1719682624998,119.8696,0.8480002,97.38324,0.5603976,0.375101,0.6441534,-0.3609993
1719682625029,119.8696,0.8479999,97.38312,0.5604891,0.3751181,0.6440299,-0.3610601
1719682625057,119.8695,0.8479996,97.383,0.5605559,0.3751622,0.6438968,-0.3611476
1719682625087,119.8693,0.8480005,97.3829,0.560594,0.3752001,0.6437944,-0.3612319
1719682625124,119.8692,0.848,97.38283,0.5606318,0.3752017,0.6437341,-0.3612785
1719682625149,119.869,0.8480002,97.38278,0.5607394,0.3751147,0.6437292,-0.3612112
1719682625177,119.8689,0.848,97.38275,0.5608695,0.3750004,0.6437511,-0.3610881
1719682625207,119.8688,0.8480008,97.38273,0.5610349,0.3748477,0.643792,-0.360917
1719682625236,119.8686,0.8480003,97.38272,0.5612201,0.3746663,0.643849,-0.3607159
1719682625266,119.8684,0.8480005,97.38272,0.5613851,0.3744905,0.6439102,-0.360532
1719682625294,119.8683,0.8479999,97.38272,0.5615342,0.374316,0.6439763,-0.3603638
1719682625318,119.8681,0.8480003,97.38274,0.5616372,0.3741825,0.6440315,-0.3602434
1719682625361,119.8679,0.8480002,97.38275,0.5616941,0.374101,0.6440706,-0.3601693
1719682625387,119.8675,0.8479998,97.3828,0.5617298,0.3740023,0.6441471,-0.3600788
1719682625427,119.8673,0.8480005,97.38284,0.5617267,0.3739557,0.6441968,-0.3600425
1719682625469,119.867,0.8480002,97.38293,0.561709,0.3738661,0.6442823,-0.3600109
1719682625492,119.8667,0.8480003,97.38303,0.5616854,0.3737277,0.6444063,-0.3599695
1719682625558,119.8665,0.8480002,97.38309,0.5616791,0.3736265,0.644497,-0.359922
1719682625594,119.8661,0.8480005,97.38327,0.5616789,0.373281,0.6448284,-0.3596865
1719682625659,119.8659,0.8480005,97.38341,0.5616307,0.3731461,0.6450088,-0.3595783
1719682625694,119.8655,0.8480003,97.38365,0.5614834,0.3731362,0.6451711,-0.3595278
1719682625731,119.8653,0.848,97.38379,0.5614,0.3732255,0.6451722,-0.3595637
1719682625767,119.8651,0.8480004,97.3839,0.5613201,0.3733519,0.6451296,-0.3596339
1719682625803,119.8649,0.8480002,97.38401,0.561233,0.3735223,0.6450497,-0.3597355
1719682625829,119.8647,0.8480002,97.38408,0.5611397,0.3737258,0.6449606,-0.3598297
1719682625891,119.8646,0.848,97.38412,0.561061,0.3738954,0.6448956,-0.3598927
1719682625942,119.8643,0.848,97.38424,0.5608227,0.3743221,0.6447697,-0.3600461
1719682625974,119.864,0.8480004,97.38436,0.5605772,0.3746023,0.6447423,-0.3601865
1719682626007,119.8639,0.8480005,97.38444,0.5604215,0.3747355,0.6447605,-0.3602571
1719682626033,119.8638,0.8480004,97.38451,0.5602704,0.37484,0.6448048,-0.3603036
1719682626085,119.8637,0.8480003,97.38457,0.5601506,0.3749136,0.644852,-0.3603294
