Timestamp,PosX,PosY,PosZ,QuaX,QuaY,QuaZ,QuaW
1719804311690,119.796,0.852922,97.55593,0.5367838,0.4230434,0.6641694,-0.3029466
1719804313257,119.8199,0.8546364,97.57697,0.5072131,0.4462322,0.6827199,-0.2783978
1719804313398,119.8191,0.8480006,97.55524,0.5198835,0.4293353,0.6776683,-0.293527
1719804313493,119.8195,0.8480008,97.55546,0.520461,0.4291869,0.6770512,-0.2941442
1719804313521,119.8198,0.8480003,97.55566,0.521229,0.429003,0.6762819,-0.2948214
1719804313580,119.8199,0.8480008,97.55572,0.5214722,0.4289449,0.6760466,-0.2950157
1719804313672,119.8201,0.8480003,97.55586,0.5218571,0.4288225,0.6756972,-0.2953133
1719804313726,119.8205,0.8480003,97.55611,0.522449,0.4284827,0.6753982,-0.2954437
1719804313763,119.8208,0.8480008,97.55622,0.5227408,0.4282069,0.6753696,-0.2953929
1719804313799,119.821,0.8480005,97.55627,0.5228467,0.4280041,0.6754578,-0.2952979
1719804313854,119.8212,0.8480005,97.5563,0.5228546,0.4278364,0.6756343,-0.2951231
1719804313895,119.8214,0.8480009,97.55631,0.5227603,0.4276191,0.6760103,-0.2947436
1719804313940,119.8216,0.8480003,97.5563,0.5227011,0.4274524,0.6762607,-0.2945165
1719804313968,119.8219,0.8480003,97.55629,0.522664,0.4272163,0.6765674,-0.29422
1719804314000,119.8221,0.8480009,97.55625,0.5226571,0.4270898,0.6767629,-0.2939661
1719804314031,119.8223,0.8480009,97.5562,0.522649,0.4269637,0.6769787,-0.2936663
1719804314064,119.8225,0.8480005,97.55614,0.5226159,0.4268609,0.6771811,-0.2934078
1719804314096,119.8227,0.8480004,97.5561,0.5225345,0.4268008,0.6773615,-0.2932245
1719804314131,119.8229,0.8480003,97.55605,0.5223963,0.4268074,0.6775323,-0.2930667
1719804314178,119.823,0.8480003,97.55597,0.5222807,0.4268799,0.6776283,-0.2929445
1719804314207,119.8232,0.8480005,97.55584,0.5221742,0.4270418,0.677651,-0.2928461
1719804314242,119.8234,0.8480008,97.55574,0.5221201,0.4271629,0.6776235,-0.2928293
1719804314274,119.8235,0.8480008,97.5556,0.5220365,0.4273195,0.6775786,-0.2928539
1719804314307,119.8236,0.8480008,97.55546,0.5219328,0.4274836,0.6775176,-0.2929407
1719804314340,119.8237,0.8480004,97.55531,0.5218008,0.4276647,0.6774508,-0.2930653
1719804314369,119.8238,0.8480008,97.55515,0.5216482,0.4278478,0.6774001,-0.2931869
1719804314396,119.8239,0.8480008,97.55499,0.5215035,0.4280039,0.6773774,-0.2932697
1719804314442,119.8239,0.8480005,97.55483,0.5213618,0.4281496,0.6773781,-0.2933068
1719804314465,119.824,0.8480008,97.55457,0.5211228,0.4283838,0.6774187,-0.2932958
1719804314493,119.824,0.8480008,97.55438,0.5209585,0.4285348,0.6774716,-0.2932444
1719804314523,119.8239,0.8480006,97.55419,0.5207816,0.4286875,0.6775474,-0.2931609
1719804314554,119.8239,0.8480005,97.55399,0.520613,0.4288151,0.6776462,-0.293045
1719804314600,119.8239,0.8480003,97.55378,0.5204648,0.4288948,0.677775,-0.2928936
1719804314630,119.8238,0.8480005,97.55347,0.5202997,0.4288984,0.6780212,-0.2926123
1719804314661,119.8237,0.8480008,97.55326,0.5202134,0.4288273,0.6782401,-0.2923629
1719804314703,119.8237,0.8480005,97.55303,0.5201349,0.4287347,0.6784753,-0.2920915
1719804314729,119.8236,0.8480005,97.5527,0.520009,0.4286269,0.6788214,-0.2916695
1719804314772,119.8236,0.8480004,97.55249,0.5199255,0.4285607,0.6790381,-0.2914109
1719804314867,119.8235,0.8480005,97.55218,0.5197959,0.4284656,0.6793401,-0.2910778
1719804314893,119.8235,0.8480008,97.55148,0.5197592,0.4281661,0.6797413,-0.290648
1719804314919,119.8236,0.8480005,97.55128,0.5198128,0.4280656,0.6798025,-0.2905568
1719804315120,119.8236,0.8480002,97.55109,0.5198908,0.4279555,0.6798469,-0.2904753
1719804315148,119.8243,0.8480005,97.55029,0.5212316,0.4272387,0.6791048,-0.2908633
1719804315182,119.8244,0.8480005,97.55021,0.5215439,0.4271584,0.6788552,-0.2910047
1719804315214,119.8245,0.8480005,97.55015,0.5218449,0.4270902,0.678614,-0.291127
1719804315249,119.8246,0.848,97.55009,0.5221058,0.4270344,0.678409,-0.2912196
1719804315296,119.8247,0.8480005,97.55006,0.5224011,0.4269602,0.6781816,-0.2913283
1719804315328,119.8249,0.8480008,97.55004,0.5227586,0.4268455,0.6779155,-0.2914742
1719804315361,119.8249,0.8480005,97.55004,0.5229597,0.4267677,0.6777759,-0.2915518
1719804315399,119.825,0.8480008,97.55006,0.5231243,0.4266935,0.6776762,-0.2915971
1719804315431,119.825,0.8480005,97.55011,0.5232264,0.4266286,0.6776367,-0.2916015
1719804315460,119.825,0.8480005,97.55016,0.5232236,0.4266008,0.6776589,-0.2915954
1719804315503,119.825,0.8480003,97.55019,0.523157,0.4266074,0.6777123,-0.2915803
1719804315532,119.8249,0.8480008,97.55024,0.5229809,0.4266573,0.6778289,-0.2915521
1719804315583,119.8248,0.8480003,97.55026,0.5228096,0.4267185,0.6779356,-0.2915219
1719804315609,119.8247,0.8480006,97.5503,0.5224432,0.4268669,0.6781564,-0.2914481
1719804315633,119.8246,0.8480005,97.55031,0.5222074,0.4269787,0.6782939,-0.2913871
1719804315661,119.8245,0.8480003,97.55029,0.5219656,0.4271093,0.6784319,-0.2913077
